town,ward,precinct,office,district,party,candidate,votes
Weston,,4,President,,Democratic,Deval Patrick,1
N. Attleborough,,9,President,,Green-Rainbow,David Rolde,0
Scituate,,5,President,,Green-Rainbow,All Others,0
Quincy,1,2,President,,Republican,Joe Walsh,3
Watertown,,8,President,,Green-Rainbow,Total Votes Cast,0
Boston,7,4,President,,Republican,Donald J. Trump,53
Wellesley,,G,President,,Democratic,Michael R. Bloomberg,110
Fall River,3,C,President,,Libertarian,Max Abramson,0
Longmeadow,,C,President,,Green-Rainbow,Blanks,0
Everett,3,1,President,,Republican,All Others,0
Brookline,,5,President,,Democratic,Tulsi Gabbard,6
Dracut,,7,President,,Republican,Total Votes Cast,192
Granby,,1,President,,Libertarian,Total Votes Cast,1
Medway,,3,President,,Green-Rainbow,David Rolde,0
Cambridge,10,2,President,,Democratic,Pete Buttigieg,28
Mansfield,,4,President,,Democratic,Elizabeth A. Warren,143
Boston,11,6,President,,Green-Rainbow,Dario Hunter,2
Gosnold,,1,President,,Green-Rainbow,All Others,0
Palmer,,1,President,,Democratic,John K. Delaney,0
Royalston,,1,President,,Democratic,Tom Steyer,1
Sandwich,,4,President,,Libertarian,Jacob George Hornberger,0
Ayer,,1,President,,Democratic,Blanks,4
Woburn,7,1,President,,Democratic,No Preference,6
Boston,16,10,President,,Libertarian,Samuel Joseph Robb,0
Worcester,3,5,President,,Democratic,Amy Klobuchar,9
Revere,5,3,President,,Libertarian,Kenneth Reed Armstrong,0
Haverhill,3,2,President,,Democratic,Tom Steyer,2
Waltham,3,2,President,,Democratic,Andrew Yang,0
Billerica,,2,President,,Libertarian,Jacob George Hornberger,0
Plainville,,2,President,,Green-Rainbow,Blanks,0
Boston,12,9,President,,Green-Rainbow,Skcm Curry,0
Littleton,,3,President,,Democratic,Amy Klobuchar,12
Revere,5,2A,President,,Libertarian,Total Votes Cast,2
Salem,5,2,President,,Libertarian,Max Abramson,0
Billerica,,10,President,,Democratic,All Others,2
Newburyport,1,P,President,,Republican,All Others,0
Fall River,3,A,President,,Green-Rainbow,David Rolde,0
Boston,22,11,President,,Republican,Blanks,0
Melrose,3,2,President,,Democratic,Total Votes Cast,615
Cambridge,1,1,President,,Libertarian,Max Abramson,0
Worcester,4,2,President,,Democratic,Deval Patrick,1
Newton,4,3,President,,Green-Rainbow,No Preference,0
Braintree,,3B,President,,Green-Rainbow,David Rolde,0
Franklin,,7,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Newton,1,3,President,,Democratic,Tulsi Gabbard,2
Beverly,2,2,President,,Democratic,Julian Castro,0
Rutland,,2,President,,Democratic,Cory Booker,0
Billerica,,6,President,,Democratic,Tom Steyer,1
Lowell,4,3,President,,Democratic,Michael R. Bloomberg,21
Brockton,4,A,President,,Libertarian,No Preference,0
Andover,,2,President,,Libertarian,Vermin Love Supreme,0
Dudley,,1,President,,Democratic,Elizabeth A. Warren,85
Waltham,7,2,President,,Green-Rainbow,Dario Hunter,0
Attleboro,3,A,President,,Democratic,Tulsi Gabbard,4
Quincy,2,3,President,,Republican,No Preference,1
Brookline,,11,President,,Democratic,"Joseph R. Biden, Jr.",369
Peabody,2,3,President,,Green-Rainbow,All Others,0
Monroe,,1,President,,Libertarian,All Others,0
Brockton,1,A,President,,Democratic,Marianne Williamson,0
Worcester,1,1,President,,Democratic,Tulsi Gabbard,7
Lawrence,C,4,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Peabody,4,3A,President,,Green-Rainbow,Howard Hawkins,0
Belmont,,3,President,,Libertarian,Samuel Joseph Robb,0
Shutesbury,,1,President,,Libertarian,Vermin Love Supreme,0
Boston,17,11,President,,Democratic,Marianne Williamson,0
Hatfield,,1,President,,Republican,Donald J. Trump,81
Boston,7,5,President,,Libertarian,Kimberly Margaret Ruff,0
Webster,,1,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Canton,,4,President,,Green-Rainbow,Skcm Curry,0
Revere,3,2,President,,Democratic,No Preference,1
Easton,,6,President,,Democratic,Cory Booker,0
Newton,2,2,President,,Green-Rainbow,Kent Mesplay,0
Bedford,,4,President,,Libertarian,Jacob George Hornberger,0
Fall River,2,C,President,,Democratic,Deval Patrick,4
Chicopee,4,B,President,,Republican,William F. Weld,5
Easton,,1,President,,Green-Rainbow,Howard Hawkins,0
Newton,2,1,President,,Democratic,Andrew Yang,1
Revere,1,3,President,,Republican,All Others,2
