county,precinct,office,district,party,candidate,votes
Androscoggin,Auburn,President,,DEM,Joe Biden,6482
Androscoggin,Durham,President,,DEM,Joe Biden,1361
Androscoggin,Greene,President,,DEM,Joe Biden,914
Androscoggin,Leeds,President,,DEM,Joe Biden,505
Androscoggin,Lewiston,President,,DEM,Joe Biden,9616
Androscoggin,Lisbon,President,,DEM,Joe Biden,2190
Androscoggin,Livermore,President,,DEM,Joe Biden,573
Androscoggin,Livermore Falls,President,,DEM,Joe Biden,540
Androscoggin,Mechanic Falls,President,,DEM,Joe Biden,650
Androscoggin,Minot,President,,DEM,Joe Biden,676
Androscoggin,Poland,President,,DEM,Joe Biden,1513
Androscoggin,Sabattus,President,,DEM,Joe Biden,1034
Androscoggin,Turner,President,,DEM,Joe Biden,1288
Androscoggin,Wales,President,,DEM,Joe Biden,275
Androscoggin,ANDROSCOGGIN Total,President,,DEM,Joe Biden,27617
Aroostook,Allagash,President,,DEM,Joe Biden,74
Aroostook,Amity,President,,DEM,Joe Biden,27
Aroostook,Ashland/T8 R11 Twp,President,,DEM,Joe Biden,231
Aroostook,Blaine,President,,DEM,Joe Biden,97
Aroostook,Bridgewater,President,,DEM,Joe Biden,77
Aroostook,Caribou/Connor Twp,President,,DEM,Joe Biden,1702
Aroostook,Castle Hill,President,,DEM,Joe Biden,97
Aroostook,Caswell,President,,DEM,Joe Biden,59
Aroostook,Chapman,President,,DEM,Joe Biden,97
Aroostook,Cross Lake Twp,President,,DEM,Joe Biden,64
Aroostook,Crystal,President,,DEM,Joe Biden,39
Aroostook,Cyr Plt,President,,DEM,Joe Biden,26
Aroostook,Dyer Brook,President,,DEM,Joe Biden,40
Aroostook,E Twp,President,,DEM,Joe Biden,12
Aroostook,Eagle Lake/T15 R6 Twp,President,,DEM,Joe Biden,197
Aroostook,Easton,President,,DEM,Joe Biden,241
Aroostook,Fort Fairfield,President,,DEM,Joe Biden,674
Aroostook,Fort Kent/Big Twenty Twp/T15 R15 Wels,President,,DEM,Joe Biden,1069
Aroostook,Frenchville,President,,DEM,Joe Biden,235
Aroostook,Garfield Plt,President,,DEM,Joe Biden,11
