county,precinct,office,district,candidate,party,votes
Aitkin,5,President,,Donald J. Trump and Michael R. Pence,R,626
Aitkin,5,President,,Joseph R. Biden and Kamala Harris,DFL,446
Aitkin,5,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,3
Aitkin,5,President,,Howie Hawkins and Angela Walker,GP,2
Aitkin,5,President,,Kanye West and Michelle Tidball,IND,4
Aitkin,5,President,,Brock Pierce and Karla Ballard,IND,1
Aitkin,5,President,,Gloria La Riva and Leonard Peltier,SLP,0
Aitkin,5,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Aitkin,5,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,9
Aitkin,5,President,,WRITE-IN,WI,0
Aitkin,5,U.S. Senate,,Kevin O'Connor,LMN,79
Aitkin,5,U.S. Senate,,Oliver Steinberg,GLC,22
Aitkin,5,U.S. Senate,,Jason Lewis,R,545
Aitkin,5,U.S. Senate,,Tina Smith,DFL,421
Aitkin,5,U.S. Senate,,WRITE-IN,WI,0
Aitkin,5,U.S. House,8,Judith Schwartzbacker,GLC,76
Aitkin,5,U.S. House,8,Pete Stauber,R,582
Aitkin,5,U.S. House,8,Quinn Nystrom,DFL,396
Aitkin,5,U.S. House,8,WRITE-IN,WI,0
Aitkin,5,State Senate,10,Carrie Ruud,R,663
Aitkin,5,State Senate,10,Steve Samuelson,DFL,395
Aitkin,5,State Senate,10,WRITE-IN,WI,0
Aitkin,5,State House,10B,Dale K. Lueck,R,690
Aitkin,5,State House,10B,Gaylene Spolarich,DFL,370
Aitkin,5,State House,10B,WRITE-IN,WI,1
Aitkin,5,Soil and Water Supervisor District 3,3001,Franklin Turnock,NP,812
Aitkin,5,Soil and Water Supervisor District 3,3001,WRITE-IN,WI,4
Aitkin,5,Soil and Water Supervisor District 4,3001,Bob Janzen,NP,858
Aitkin,5,Soil and Water Supervisor District 4,3001,WRITE-IN,WI,4
Aitkin,5,Soil and Water Supervisor District 5,3001,Robert Roseberg,NP,802
Aitkin,5,Soil and Water Supervisor District 5,3001,WRITE-IN,WI,3
Aitkin,5,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,361
Aitkin,5,Associate Justice - Supreme Court 4,,Paul Thissen,NP,423
Aitkin,5,Associate Justice - Supreme Court 4,,WRITE-IN,WI,0
Aitkin,5,Judge - Court of Appeals 3,,Carol Hooten,NP,667
Aitkin,5,Judge - Court of Appeals 3,,WRITE-IN,WI,1
