county,precinct_code,precinct,office,district,candidate,party,votes
Adair,1,SW1-DFS,President,,Donald J. Trump,REP,311
Adair,2,SE2-REHOBOTH,President,,Donald J. Trump,REP,547
Adair,3,SE3-MOOSE,President,,Donald J. Trump,REP,172
Adair,4,NE4-ANNEX,President,,Donald J. Trump,REP,300
Adair,5,NE5-LIBRARY,President,,Donald J. Trump,REP,330
Adair,6,NE6-NAZARENE,President,,Donald J. Trump,REP,421
Adair,7,TSU,President,,Donald J. Trump,REP,19
Adair,8,RURAL BENTON-CONSERVATION,President,,Donald J. Trump,REP,776
Adair,9,NOVINGER,President,,Donald J. Trump,REP,715
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Donald J. Trump,REP,525
Adair,11,ABSENTEE,President,,Donald J. Trump,REP,2293
Adair,12,FEDERAL,President,,Donald J. Trump,REP,4
Adair,13,WRITE-IN,President,,Donald J. Trump,REP,0
Adair,1,SW1-DFS,President,,Joseph R. Biden,DEM,172
Adair,2,SE2-REHOBOTH,President,,Joseph R. Biden,DEM,306
Adair,3,SE3-MOOSE,President,,Joseph R. Biden,DEM,278
Adair,4,NE4-ANNEX,President,,Joseph R. Biden,DEM,234
Adair,5,NE5-LIBRARY,President,,Joseph R. Biden,DEM,163
Adair,6,NE6-NAZARENE,President,,Joseph R. Biden,DEM,224
Adair,7,TSU,President,,Joseph R. Biden,DEM,115
Adair,8,RURAL BENTON-CONSERVATION,President,,Joseph R. Biden,DEM,198
Adair,9,NOVINGER,President,,Joseph R. Biden,DEM,102
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Joseph R. Biden,DEM,80
Adair,11,ABSENTEE,President,,Joseph R. Biden,DEM,1833
Adair,12,FEDERAL,President,,Joseph R. Biden,DEM,5
Adair,13,WRITE-IN,President,,Joseph R. Biden,DEM,0
Adair,1,SW1-DFS,President,,Jo Jorgensen,LIB,9
Adair,2,SE2-REHOBOTH,President,,Jo Jorgensen,LIB,22
Adair,3,SE3-MOOSE,President,,Jo Jorgensen,LIB,12
Adair,4,NE4-ANNEX,President,,Jo Jorgensen,LIB,9
Adair,5,NE5-LIBRARY,President,,Jo Jorgensen,LIB,12
Adair,6,NE6-NAZARENE,President,,Jo Jorgensen,LIB,21
Adair,7,TSU,President,,Jo Jorgensen,LIB,2
