"county","precinct","office","district","party","candidate","votes"
"Bernalillo","PCT 001","President","","DEM","Joseph R. Biden","556"
"Bernalillo","PCT 001","President","","REP","Donald J. Trump","439"
"Bernalillo","PCT 001","President","","LIB","Jo Jorgensen","20"
"Bernalillo","PCT 001","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 001","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 001","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 002","President","","DEM","Joseph R. Biden","406"
"Bernalillo","PCT 002","President","","REP","Donald J. Trump","290"
"Bernalillo","PCT 002","President","","LIB","Jo Jorgensen","17"
"Bernalillo","PCT 002","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 002","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 002","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 003","President","","DEM","Joseph R. Biden","180"
"Bernalillo","PCT 003","President","","REP","Donald J. Trump","179"
"Bernalillo","PCT 003","President","","LIB","Jo Jorgensen","*"
"Bernalillo","PCT 003","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 003","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 003","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 004","President","","DEM","Joseph R. Biden","374"
"Bernalillo","PCT 004","President","","REP","Donald J. Trump","209"
"Bernalillo","PCT 004","President","","LIB","Jo Jorgensen","14"
"Bernalillo","PCT 004","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 004","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 004","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 005","President","","DEM","Joseph R. Biden","380"
"Bernalillo","PCT 005","President","","REP","Donald J. Trump","179"
"Bernalillo","PCT 005","President","","LIB","Jo Jorgensen","6"
"Bernalillo","PCT 005","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 005","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 005","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 006","President","","DEM","Joseph R. Biden","375"
"Bernalillo","PCT 006","President","","REP","Donald J. Trump","199"
"Bernalillo","PCT 006","President","","LIB","Jo Jorgensen","9"
"Bernalillo","PCT 006","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 006","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 006","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 007","President","","DEM","Joseph R. Biden","502"
"Bernalillo","PCT 007","President","","REP","Donald J. Trump","240"
"Bernalillo","PCT 007","President","","LIB","Jo Jorgensen","12"
"Bernalillo","PCT 007","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 007","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 007","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 008","President","","DEM","Joseph R. Biden","200"
"Bernalillo","PCT 008","President","","REP","Donald J. Trump","140"
"Bernalillo","PCT 008","President","","LIB","Jo Jorgensen","9"
"Bernalillo","PCT 008","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 008","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 008","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 009","President","","DEM","Joseph R. Biden","344"
"Bernalillo","PCT 009","President","","REP","Donald J. Trump","245"
"Bernalillo","PCT 009","President","","LIB","Jo Jorgensen","9"
"Bernalillo","PCT 009","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 009","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 009","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 010","President","","DEM","Joseph R. Biden","474"
"Bernalillo","PCT 010","President","","REP","Donald J. Trump","318"
"Bernalillo","PCT 010","President","","LIB","Jo Jorgensen","10"
"Bernalillo","PCT 010","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 010","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 010","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 011","President","","DEM","Joseph R. Biden","386"
"Bernalillo","PCT 011","President","","REP","Donald J. Trump","140"
"Bernalillo","PCT 011","President","","LIB","Jo Jorgensen","6"
"Bernalillo","PCT 011","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 011","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 011","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 012","President","","DEM","Joseph R. Biden","509"
"Bernalillo","PCT 012","President","","REP","Donald J. Trump","224"
"Bernalillo","PCT 012","President","","LIB","Jo Jorgensen","7"
"Bernalillo","PCT 012","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 012","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 012","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 013","President","","DEM","Joseph R. Biden","434"
"Bernalillo","PCT 013","President","","REP","Donald J. Trump","210"
"Bernalillo","PCT 013","President","","LIB","Jo Jorgensen","14"
"Bernalillo","PCT 013","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 013","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 013","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 014","President","","DEM","Joseph R. Biden","449"
"Bernalillo","PCT 014","President","","REP","Donald J. Trump","219"
"Bernalillo","PCT 014","President","","LIB","Jo Jorgensen","10"
"Bernalillo","PCT 014","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 014","President","","GRE","Howie Hawkins","7"
"Bernalillo","PCT 014","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 015","President","","DEM","Joseph R. Biden","444"
"Bernalillo","PCT 015","President","","REP","Donald J. Trump","318"
"Bernalillo","PCT 015","President","","LIB","Jo Jorgensen","9"
"Bernalillo","PCT 015","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 015","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 015","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 016","President","","DEM","Joseph R. Biden","298"
"Bernalillo","PCT 016","President","","REP","Donald J. Trump","193"
"Bernalillo","PCT 016","President","","LIB","Jo Jorgensen","6"
"Bernalillo","PCT 016","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 016","President","","GRE","Howie Hawkins","6"
"Bernalillo","PCT 016","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 017","President","","DEM","Joseph R. Biden","398"
"Bernalillo","PCT 017","President","","REP","Donald J. Trump","183"
"Bernalillo","PCT 017","President","","LIB","Jo Jorgensen","8"
"Bernalillo","PCT 017","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 017","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 017","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 018","President","","DEM","Joseph R. Biden","420"
"Bernalillo","PCT 018","President","","REP","Donald J. Trump","240"
"Bernalillo","PCT 018","President","","LIB","Jo Jorgensen","8"
"Bernalillo","PCT 018","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 018","President","","GRE","Howie Hawkins","6"
"Bernalillo","PCT 018","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 019","President","","DEM","Joseph R. Biden","312"
"Bernalillo","PCT 019","President","","REP","Donald J. Trump","271"
"Bernalillo","PCT 019","President","","LIB","Jo Jorgensen","12"
"Bernalillo","PCT 019","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 019","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 019","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 020","President","","DEM","Joseph R. Biden","413"
"Bernalillo","PCT 020","President","","REP","Donald J. Trump","257"
"Bernalillo","PCT 020","President","","LIB","Jo Jorgensen","8"
"Bernalillo","PCT 020","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 020","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 020","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 021","President","","DEM","Joseph R. Biden","454"
"Bernalillo","PCT 021","President","","REP","Donald J. Trump","321"
"Bernalillo","PCT 021","President","","LIB","Jo Jorgensen","12"
"Bernalillo","PCT 021","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 021","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 021","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 022","President","","DEM","Joseph R. Biden","422"
"Bernalillo","PCT 022","President","","REP","Donald J. Trump","379"
"Bernalillo","PCT 022","President","","LIB","Jo Jorgensen","13"
"Bernalillo","PCT 022","President","","CON","Sheila ""Samm"" Tittle","6"
"Bernalillo","PCT 022","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 022","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 023","President","","DEM","Joseph R. Biden","283"
"Bernalillo","PCT 023","President","","REP","Donald J. Trump","169"
"Bernalillo","PCT 023","President","","LIB","Jo Jorgensen","8"
"Bernalillo","PCT 023","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 023","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 023","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 024","President","","DEM","Joseph R. Biden","363"
"Bernalillo","PCT 024","President","","REP","Donald J. Trump","237"
"Bernalillo","PCT 024","President","","LIB","Jo Jorgensen","11"
"Bernalillo","PCT 024","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 024","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 024","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 025","President","","DEM","Joseph R. Biden","411"
"Bernalillo","PCT 025","President","","REP","Donald J. Trump","328"
"Bernalillo","PCT 025","President","","LIB","Jo Jorgensen","12"
"Bernalillo","PCT 025","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 025","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 025","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 026","President","","DEM","Joseph R. Biden","423"
"Bernalillo","PCT 026","President","","REP","Donald J. Trump","188"
"Bernalillo","PCT 026","President","","LIB","Jo Jorgensen","6"
"Bernalillo","PCT 026","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 026","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 026","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 027","President","","DEM","Joseph R. Biden","473"
"Bernalillo","PCT 027","President","","REP","Donald J. Trump","196"
"Bernalillo","PCT 027","President","","LIB","Jo Jorgensen","9"
"Bernalillo","PCT 027","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 027","President","","GRE","Howie Hawkins","9"
"Bernalillo","PCT 027","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 028","President","","DEM","Joseph R. Biden","374"
"Bernalillo","PCT 028","President","","REP","Donald J. Trump","164"
"Bernalillo","PCT 028","President","","LIB","Jo Jorgensen","6"
"Bernalillo","PCT 028","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 028","President","","GRE","Howie Hawkins","6"
"Bernalillo","PCT 028","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 029","President","","DEM","Joseph R. Biden","508"
"Bernalillo","PCT 029","President","","REP","Donald J. Trump","264"
"Bernalillo","PCT 029","President","","LIB","Jo Jorgensen","12"
"Bernalillo","PCT 029","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 029","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 029","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 030","President","","DEM","Joseph R. Biden","455"
"Bernalillo","PCT 030","President","","REP","Donald J. Trump","222"
"Bernalillo","PCT 030","President","","LIB","Jo Jorgensen","*"
"Bernalillo","PCT 030","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 030","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 030","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 031","President","","DEM","Joseph R. Biden","361"
"Bernalillo","PCT 031","President","","REP","Donald J. Trump","152"
"Bernalillo","PCT 031","President","","LIB","Jo Jorgensen","*"
"Bernalillo","PCT 031","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 031","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 031","President","","PSL","Gloria La Riva","*"
"Bernalillo","PCT 032","President","","DEM","Joseph R. Biden","209"
"Bernalillo","PCT 032","President","","REP","Donald J. Trump","105"
"Bernalillo","PCT 032","President","","LIB","Jo Jorgensen","*"
"Bernalillo","PCT 032","President","","CON","Sheila ""Samm"" Tittle","*"
"Bernalillo","PCT 032","President","","GRE","Howie Hawkins","*"
"Bernalillo","PCT 032","President","","PSL","Gloria La Riva","*"
