county,precinct,office,district,candidate,party,votes
Carson City,101,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,532
Carson City,101,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,467
Carson City,101,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,402
Carson City,101,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,367
Carson City,101,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,230
Carson City,101,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,883
Carson City,101,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,869
Carson City,101,President,,"BIDEN, JOSEPH R.",DEM,515
Carson City,101,President,,"BLANKENSHIP, DON",,3
Carson City,101,President,,"JORGENSEN, JO",LIB,15
Carson City,101,President,,None Of These Candidates,,14
Carson City,101,President,,"TRUMP, DONALD J.",REP,529
Carson City,101,"School Trustee, District 7",,"CACIOPPO, JOE",,627
Carson City,101,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,342
Carson City,101,State Assembly,40,"LOYD, SENA",,500
Carson City,101,State Assembly,40,"O'Neill, Philip ""PK""",,546
Carson City,101,STATE QUESTION NO. 1,,No,,615
Carson City,101,STATE QUESTION NO. 1,,Yes,,387
Carson City,101,STATE QUESTION NO. 2,,No,,411
Carson City,101,STATE QUESTION NO. 2,,Yes,,627
Carson City,101,STATE QUESTION NO. 3,,No,,467
Carson City,101,STATE QUESTION NO. 3,,Yes,,553
Carson City,101,STATE QUESTION NO. 4,,No,,424
Carson City,101,STATE QUESTION NO. 4,,Yes,,604
Carson City,101,STATE QUESTION NO. 6,,No,,499
Carson City,101,STATE QUESTION NO. 6,,Yes,,537
Carson City,101,"Supreme Court Justice, Seat B",,None Of These Candidates,,215
Carson City,101,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,761
Carson City,101,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,394
Carson City,101,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,457
Carson City,101,"Supreme Court Justice, Seat D",,None Of These Candidates,,157
Carson City,101,U.S. House,2,"ACKERMAN, PATRICIA",DEM,481
Carson City,101,U.S. House,2,"Amodei, Mark E.",REP,552
Carson City,101,U.S. House,2,JANINE HANSEN,IAP,26
Carson City,103,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,576
Carson City,103,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,449
Carson City,103,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,474
Carson City,103,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,310
Carson City,103,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,211
Carson City,103,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,912
Carson City,103,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,909
Carson City,103,President,,"BIDEN, JOSEPH R.",DEM,484
Carson City,103,President,,"BLANKENSHIP, DON",,3
