county,office,district,candidate,party,absentee_mail,early_voting,election_day,votes
ADAIR,President,,DONALD J. TRUMP | MICHAEL R. PENCE,REP,216,647,4722,5585
ADAIR,President,,JO JORGENSEN | JEREMY SPIKE COHEN,LIB,7,8,47,62
ADAIR,President,,JOSEPH R. BIDEN | KAMALA D. HARRIS,DEM,197,205,985,1387
ADAIR,President,,JADE SIMMONS | CLAUDELIAH J. ROZE,IND,1,2,19,22
ADAIR,President,,KANYE WEST | MICHELLE TIDBALL,IND,3,4,30,37
ADAIR,President,,BROCK PIERCE | KARLA BALLARD,IND,2,0,13,15
ADAIR,Corporation Commissioner,,TODD HIETT,REP,254,650,4720,5624
ADAIR,Corporation Commissioner,,TODD HAGOPIAN,LIB,144,168,781,1093
ADAIR,U.S. Senate,,JIM INHOFE,REP,210,597,4327,5134
ADAIR,U.S. Senate,,ROBERT MURPHY,LIB,12,17,109,138
ADAIR,U.S. Senate,,ABBY BROYLES,DEM,195,224,1196,1615
ADAIR,U.S. Senate,,JOAN FARR,IND,6,17,101,124
ADAIR,U.S. Senate,,A. D. NESBIT,IND,2,6,55,63
ADAIR,U.S. House,2,MARKWAYNE MULLIN,REP,220,620,4648,5488
ADAIR,U.S. House,2,RICHIE CASTALDO,LIB,19,24,188,231
ADAIR,U.S. House,2,DANYELL LANIER,DEM,188,214,964,1366
ADAIR,State Senate,3,BLAKE COWBOY STEPHENS,REP,237,647,4713,5597
ADAIR,State Senate,3,DYLLON FITE,DEM,184,213,1054,1451
ADAIR,FOR COUNTY SHERIFF,,JOHN R. BERRY,REP,140,367,2664,3171
ADAIR,FOR COUNTY SHERIFF,,JASON RITCHIE,IND,270,476,3038,3784
ADAIR,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,YES,,245,506,3547,4298
ADAIR,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,NO,,147,264,1716,2127
ADAIR,SUPREME COURT DISTRICT 6 - TOM COLBERT,,YES,,255,488,3361,4104
ADAIR,SUPREME COURT DISTRICT 6 - TOM COLBERT,,NO,,139,288,1932,2359
ADAIR,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,YES,,229,499,3451,4179
ADAIR,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,NO,,157,273,1778,2208
ADAIR,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,YES,,233,499,3445,4177
ADAIR,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,NO,,152,268,1779,2199
ADAIR,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,YES,,228,492,3387,4107
ADAIR,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,NO,,158,278,1823,2259
ADAIR,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,YES,,244,464,3131,3839
ADAIR,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,NO,,140,306,2080,2526
ADAIR,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,YES,,251,472,3156,3879
ADAIR,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,NO,,130,295,2043,2468
ADAIR,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,YES,,229,459,3133,3821
ADAIR,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,NO,,153,310,2084,2547
ADAIR,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,FOR THE PROPOSAL - YES,,221,241,1372,1834
ADAIR,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,AGAINST THE PROPOSAL - NO,,192,603,4246,5041
ADAIR,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,FOR THE PROPOSAL - YES,,172,314,1963,2449
ADAIR,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,AGAINST THE PROPOSAL - NO,,238,525,3563,4326
