county,precinct,office,district,party,candidate,votes
Luzerne,Ashley Boro Ward 01,President,,DEM,Bernie Sanders,42
Luzerne,Ashley Boro Ward 01,President,,DEM,Joseph R. Biden,157
Luzerne,Ashley Boro Ward 01,President,,DEM,Tulsi Gabbard,14
Luzerne,Ashley Boro Ward 01,President,,DEM,Matthew Vough,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Andrew Yang,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Hillary Clinton,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Scattered,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Mark Cuban,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Joe Sestak,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Donald J. Trump,12
Luzerne,Ashley Boro Ward 01,President,,DEM,Edward Michaels,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Daggett Bond,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Leon J Szumlanski,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Bishop Joseph Bambera,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Joe Exotic,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Jesse Homer Smith,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Bill Gates,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Andrew Cuomo,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Michael B Senape,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Gerald D Bau,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Julian Castro,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Carl Yorina,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Elizabeth Warren,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Tom Brier,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Senator Casey,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Peter Buttigieg,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Michael Jordan,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Mike Bloomberg,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Kamela Harris,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Terese Rogers,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Jim Bach,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Tom Wolf,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Ronald Branch,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Justin Amash,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Amy Klobachar,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Corey Booker,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Tom Steyer,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Nick Sedon,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Ronald Toole,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Bill Bradley,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Robert Cardillo Jr.,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Kristen Gillibrand,0
Luzerne,Ashley Boro Ward 01,President,,DEM,Stephen Demko,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Bernie Sanders,14
Luzerne,Ashley Boro Ward 02,President,,DEM,Joseph R. Biden,68
Luzerne,Ashley Boro Ward 02,President,,DEM,Tulsi Gabbard,7
Luzerne,Ashley Boro Ward 02,President,,DEM,Matthew Vough,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Andrew Yang,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Hillary Clinton,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Scattered,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Mark Cuban,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Joe Sestak,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Donald J. Trump,5
Luzerne,Ashley Boro Ward 02,President,,DEM,Edward Michaels,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Daggett Bond,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Leon J Szumlanski,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Bishop Joseph Bambera,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Joe Exotic,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Jesse Homer Smith,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Bill Gates,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Andrew Cuomo,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Michael B Senape,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Gerald D Bau,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Julian Castro,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Carl Yorina,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Elizabeth Warren,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Tom Brier,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Senator Casey,0
Luzerne,Ashley Boro Ward 02,President,,DEM,Peter Buttigieg,0
