county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee,mail_in
PHILADELPHIA,01-01,Registered Voters,,,Registered Voters,516,,,,
PHILADELPHIA,01-01,Registered Voters,,DEM,Registered Voters,380,,,,
PHILADELPHIA,01-01,Registered Voters,,GRN,Registered Voters,2,,,,
PHILADELPHIA,01-01,Registered Voters,,LIB,Registered Voters,3,,,,
PHILADELPHIA,01-01,Registered Voters,,NPA,Registered Voters,67,,,,
PHILADELPHIA,01-01,Registered Voters,,REP,Registered Voters,64,,,,
PHILADELPHIA,01-01,Ballots Cast,,,Ballots Cast,230,49,2,30,149
PHILADELPHIA,01-01,Ballots Cast,,DEM,Ballots Cast,209,39,2,30,138
PHILADELPHIA,01-01,Ballots Cast,,NPA,Ballots Cast,5,1,0,0,4
PHILADELPHIA,01-01,Ballots Cast,,REP,Ballots Cast,16,9,0,0,7
PHILADELPHIA,01-01,President,,DEM,BERNIE SANDERS,75,13,1,10,51
PHILADELPHIA,01-01,President,,DEM,Joseph R. Biden,122,18,1,20,83
PHILADELPHIA,01-01,President,,DEM,TULSI GABBARD,3,2,0,0,1
PHILADELPHIA,01-01,President,,DEM,Write-ins,2,0,0,0,2
PHILADELPHIA,01-01,President,,REP,BILL WELD,2,2,0,0,0
PHILADELPHIA,01-01,President,,REP,Donald J. Trump,13,7,0,0,6
PHILADELPHIA,01-01,President,,REP,ROQUE ROCKY DE LA FUENTE,0,0,0,0,0
PHILADELPHIA,01-01,President,,REP,Write-ins,1,0,0,0,1
PHILADELPHIA,01-01,Attorney General,,DEM,JOSH SHAPIRO,177,32,2,24,119
PHILADELPHIA,01-01,Attorney General,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-01,Attorney General,,REP,HEATHER HEIDELBAUGH,13,7,0,0,6
PHILADELPHIA,01-01,Attorney General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-01,Auditor General,,DEM,CHRISTINA M HARTMAN,3,0,0,0,3
PHILADELPHIA,01-01,Auditor General,,DEM,H SCOTT CONKLIN,2,0,0,0,2
PHILADELPHIA,01-01,Auditor General,,DEM,MICHAEL LAMB,12,4,0,0,8
PHILADELPHIA,01-01,Auditor General,,DEM,NINA AHMAD,161,27,2,24,108
PHILADELPHIA,01-01,Auditor General,,DEM,ROSE ROSIE MARIE DAVIS,5,3,0,1,1
PHILADELPHIA,01-01,Auditor General,,DEM,TRACIE FOUNTAIN,10,0,0,2,8
PHILADELPHIA,01-01,Auditor General,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-01,Auditor General,,REP,TIMOTHY DEFOOR,15,8,0,0,7
PHILADELPHIA,01-01,Auditor General,,REP,Write-ins,0,0,0,0,0
