county,office,district,party,candidate,votes
Bristol,Senator in Congress,,,Total,1498
Bristol,Senator in Congress,,DEM,John F. Reed*,1498
Bristol,Representative in Congress District 1,,,Total,1482
Bristol,Representative in Congress District 1,,DEM,David N. Cicilline*,1482
Bristol,Senator in General Assembly District 10,,,Total,394
Bristol,Senator in General Assembly District 10,,DEM,"Walter S. Felag, Jr.*",394
Bristol,Senator in General Assembly District 11,,,Total,404
Bristol,Senator in General Assembly District 11,,DEM,James Arthur Seveney*,404
Bristol,Senator in General Assembly District 32,,,Total,588
Bristol,Senator in General Assembly District 32,,DEM,Cynthia Armour Coyne*,588
Bristol,Representative in General Assembly District 68,,,Total,783
Bristol,Representative in General Assembly District 68,,DEM,June S. Speakman*,783
Bristol,Representative in General Assembly District 69,,,Total,629
Bristol,Representative in General Assembly District 69,,DEM,Susan R. Donovan*,629
Bristol,Town Council TOWN OF BRISTOL,,,Total,6571
Bristol,Town Council TOWN OF BRISTOL,,DEM,Aaron J. Ley*,1289
Bristol,Town Council TOWN OF BRISTOL,,DEM,Timothy Edward Sweeney*,1246
Bristol,Town Council TOWN OF BRISTOL,,DEM,Bethany Sousa Foster*,1138
Bristol,Town Council TOWN OF BRISTOL,,DEM,Adam M. Ramos*,1122
Bristol,Town Council TOWN OF BRISTOL,,DEM,Nathan T. Calouro*,1074
Bristol,Town Council TOWN OF BRISTOL,,DEM,"Joseph S. DeMelo, Jr.",702
Burrillville,Senator in Congress,,,Total,540
Burrillville,Senator in Congress,,DEM,John F. Reed*,540
Burrillville,Representative in Congress District 2,,,Total,570
Burrillville,Representative in Congress District 2,,DEM,James R. Langevin*,426
Burrillville,Representative in Congress District 2,,DEM,Dylan Conley,144
Burrillville,Senator in General Assembly District 23,,,Total,517
Burrillville,Senator in General Assembly District 23,,DEM,Paul A. Roselli*,517
Burrillville,Senator in Congress,,,Total,262
Burrillville,Senator in Congress,,REP,Allen R. Waters,262
Burrillville,Representative in Congress District 2,,,Total,279
Burrillville,Representative in Congress District 2,,REP,Robert B. Lancia*,175
Burrillville,Representative in Congress District 2,,REP,Donald Frederick Robbio,104
Burrillville,Senator in General Assembly District 23,,,Total,282
Burrillville,Senator in General Assembly District 23,,REP,Jessica de la Cruz*,282
Burrillville,Representative in General Assembly District 47,,,Total,241
Burrillville,Representative in General Assembly District 47,,REP,David J. Place*,241
Burrillville,Representative in General Assembly District 48,,,Total,41
Burrillville,Representative in General Assembly District 48,,REP,Brian C. Newberry*,41
Central Falls,Senator in Congress,,,Total,1167
Central Falls,Senator in Congress,,DEM,John F. Reed*,1167
Central Falls,Representative in Congress District 1,,,Total,1292
Central Falls,Representative in Congress District 1,,DEM,David N. Cicilline*,1292
Central Falls,Senator in General Assembly District 16,,,Total,1536
Central Falls,Senator in General Assembly District 16,,DEM,Jonathon Acosta,834
Central Falls,Senator in General Assembly District 16,,DEM,Elizabeth A. Crowley*,553
Central Falls,Senator in General Assembly District 16,,DEM,Leslie Estrada,149
Central Falls,Representative in General Assembly District 56,,,Total,780
Central Falls,Representative in General Assembly District 56,,DEM,Joshua J. Giraldo*,780
Central Falls,Representative in General Assembly District 57,,,Total,320
Central Falls,Representative in General Assembly District 57,,DEM,James N. McLaughlin*,320
Central Falls,Non-Partisan Mayor CITY OF CENTRAL FALLS,,,Total,1874
Central Falls,Non-Partisan Mayor CITY OF CENTRAL FALLS,,,L. Maria Rivera,1396
Central Falls,Non-Partisan Mayor CITY OF CENTRAL FALLS,,,"Joseph P. Moran, III",314
Central Falls,Non-Partisan Mayor CITY OF CENTRAL FALLS,,,Tia Ristaino-Siegel,164
Charlestown,Senator in Congress,,,Total,560
Charlestown,Senator in Congress,,DEM,John F. Reed*,560
Charlestown,Representative in Congress District 2,,,Total,593
Charlestown,Representative in Congress District 2,,DEM,James R. Langevin*,455
Charlestown,Representative in Congress District 2,,DEM,Dylan Conley,138
Charlestown,Senator in General Assembly District 34,,,Total,285
Charlestown,Senator in General Assembly District 34,,DEM,Jennifer C. Douglas,285
Charlestown,Senator in Congress,,,Total,164
Charlestown,Senator in Congress,,REP,Allen R. Waters,164
Charlestown,Representative in Congress District 2,,,Total,177
Charlestown,Representative in Congress District 2,,REP,Robert B. Lancia*,134
Charlestown,Representative in Congress District 2,,REP,Donald Frederick Robbio,43
Charlestown,Senator in General Assembly District 34,,,Total,83
Charlestown,Senator in General Assembly District 34,,REP,Elaine J. Morgan*,83
Charlestown,Senator in General Assembly District 38,,,Total,92
Charlestown,Senator in General Assembly District 38,,REP,Dennis L. Algiere*,92
Charlestown,Representative in General Assembly District 36,,,Total,184
Charlestown,Representative in General Assembly District 36,,REP,Blake A. Filippi*,184
Coventry,Senator in Congress,,,Total,1508
Coventry,Senator in Congress,,DEM,John F. Reed*,1508
Coventry,Representative in Congress District 2,,,Total,1625
Coventry,Representative in Congress District 2,,DEM,James R. Langevin*,1170
Coventry,Representative in Congress District 2,,DEM,Dylan Conley,455
Coventry,Senator in General Assembly District 33,,,Total,990
Coventry,Senator in General Assembly District 33,,DEM,Leonidas P. Raptakis*,990
Coventry,Representative in General Assembly District 25,,,Total,93
Coventry,Representative in General Assembly District 25,,DEM,Thomas E. Noret*,93
Coventry,Representative in General Assembly District 26,,,Total,117
Coventry,Representative in General Assembly District 26,,DEM,James B. Jackson*,117
Coventry,Representative in General Assembly District 27,,,Total,155
Coventry,Representative in General Assembly District 27,,DEM,Patricia A. Serpa*,109
Coventry,Representative in General Assembly District 27,,DEM,Nicholas E. Delmenico,46
Coventry,Representative in General Assembly District 28,,,Total,564
Coventry,Representative in General Assembly District 28,,DEM,Scott J. Guthrie*,564
Coventry,Representative in General Assembly District 40,,,Total,93
Coventry,Representative in General Assembly District 40,,DEM,Linda A. Nichols,93
Coventry,Senator in Congress,,,Total,557
Coventry,Senator in Congress,,REP,Allen R. Waters,557
Coventry,Representative in Congress District 2,,,Total,634
Coventry,Representative in Congress District 2,,REP,Robert B. Lancia*,429
