town,office,district,party,candidate,votes
Barrington,President,,DEM,Joseph R. Biden,7713
Barrington,President,,REP,Donald J. Trump,2889
Barrington,President,,Lib,Jo Jorgensen,113
Barrington,President,,NON,WRITE-IN,78
Barrington,President,,AS,Brian Carroll,14
Barrington,President,,All,Roque &quot;Rocky&quot; De La Fuente,13
Barrington,President,,S&L,Gloria La Riva,12
Barrington,U.S. Senate,,DEM,John F. Reed,7778
Barrington,U.S. Senate,,REP,Allen R. Waters,2733
Barrington,U.S. Senate,,NON,WRITE-IN,13
Barrington,U.S. House,1,DEM,David N. Cicilline,7403
Barrington,U.S. House,1,Ind,Frederick Wysocki,1534
Barrington,U.S. House,1,Ind,Jeffrey Edward Lemire,1076
Barrington,U.S. House,1,NON,WRITE-IN,69
Barrington,State Senate,32,DEM,Cynthia Armour Coyne,8443
Barrington,State Senate,32,NON,WRITE-IN,346
Barrington,State House,66,DEM,Liana M. Cassar,4703
Barrington,State House,66,NON,WRITE-IN,168
Barrington,State House,67,DEM,Jason Knight,3582
Barrington,State House,67,NON,WRITE-IN,160
Barrington,Moderator TOWN OF BARRINGTON,,DEM,"Richard F. Staples, Jr.",8195
Barrington,Moderator TOWN OF BARRINGTON,,NON,WRITE-IN,229
Barrington,Town Council TOWN OF BARRINGTON,,DEM,Robert J. Humm,6781
Barrington,Town Council TOWN OF BARRINGTON,,DEM,Annelise S. Conway,6318
Barrington,Town Council TOWN OF BARRINGTON,,DEM,Carl P. Kustell,4824
Barrington,Town Council TOWN OF BARRINGTON,,Ind,"John D. Alessandro, Jr.",4556
Barrington,Town Council TOWN OF BARRINGTON,,NON,WRITE-IN,240
Barrington,School Committee TOWN OF BARRINGTON,,DEM,Amanda Regino Basse,6615
Barrington,School Committee TOWN OF BARRINGTON,,DEM,Megan P. Douglas,6597
Barrington,School Committee TOWN OF BARRINGTON,,DEM,Patrick J. McCrann,6572
Barrington,School Committee TOWN OF BARRINGTON,,NON,WRITE-IN,472
Barrington,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,6499
Barrington,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,3596
Barrington,"2. COUNCIL - NUMBER, SELECTION, TERM TOWN OF BARRINGTON",,NON,Approve,8336
Barrington,"2. COUNCIL - NUMBER, SELECTION, TERM TOWN OF BARRINGTON",,NON,Reject,1540
