county,precinct,office,district,party,candidate,votes
Beaver,BEAVER 1,President,,Republican,ROBERT ARDINI,1
Beaver,BEAVER 2,President,,Republican,ROBERT ARDINI,1
Beaver,BEAVER 3,President,,Republican,ROBERT ARDINI,1
Beaver,BEAVER 4,President,,Republican,ROBERT ARDINI,0
Beaver,GREENVILLE 1,President,,Republican,ROBERT ARDINI,0
Beaver,MILFORD 1,President,,Republican,ROBERT ARDINI,0
Beaver,MILFORD 2,President,,Republican,ROBERT ARDINI,0
Beaver,MILFORD 3,President,,Republican,ROBERT ARDINI,0
Beaver,MINERSVILLE 1,President,,Republican,ROBERT ARDINI,0
Beaver,BEAVER 1,President,,Republican,MATTHEW JOHN MATERN,1
Beaver,BEAVER 2,President,,Republican,MATTHEW JOHN MATERN,0
Beaver,BEAVER 3,President,,Republican,MATTHEW JOHN MATERN,1
Beaver,BEAVER 4,President,,Republican,MATTHEW JOHN MATERN,0
Beaver,GREENVILLE 1,President,,Republican,MATTHEW JOHN MATERN,0
Beaver,MILFORD 1,President,,Republican,MATTHEW JOHN MATERN,1
Beaver,MILFORD 2,President,,Republican,MATTHEW JOHN MATERN,0
Beaver,MILFORD 3,President,,Republican,MATTHEW JOHN MATERN,0
Beaver,MINERSVILLE 1,President,,Republican,MATTHEW JOHN MATERN,0
Beaver,BEAVER 1,President,,Republican,BOB ELY,1
Beaver,BEAVER 2,President,,Republican,BOB ELY,0
Beaver,BEAVER 3,President,,Republican,BOB ELY,0
Beaver,BEAVER 4,President,,Republican,BOB ELY,0
Beaver,GREENVILLE 1,President,,Republican,BOB ELY,0
Beaver,MILFORD 1,President,,Republican,BOB ELY,0
Beaver,MILFORD 2,President,,Republican,BOB ELY,1
Beaver,MILFORD 3,President,,Republican,BOB ELY,0
Beaver,MINERSVILLE 1,President,,Republican,BOB ELY,2
Beaver,BEAVER 1,President,,Republican,JOE WALSH,2
Beaver,BEAVER 2,President,,Republican,JOE WALSH,1
Beaver,BEAVER 3,President,,Republican,JOE WALSH,2
Beaver,BEAVER 4,President,,Republican,JOE WALSH,3
Beaver,GREENVILLE 1,President,,Republican,JOE WALSH,0
Beaver,MILFORD 1,President,,Republican,JOE WALSH,0
Beaver,MILFORD 2,President,,Republican,JOE WALSH,1
Beaver,MILFORD 3,President,,Republican,JOE WALSH,0
Beaver,MINERSVILLE 1,President,,Republican,JOE WALSH,0
