county,precinct,office,district,party,candidate,votes
Box Elder,BC01,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BC01,President,,Democrat,ANDREW YANG,2
Box Elder,BC01,President,,Democrat,CORY BOOKER,0
Box Elder,BC01,President,,Democrat,PETE BUTTIGIEG,8
Box Elder,BC01,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BC01,President,,Democrat,MICHAEL R. BLOOMBERG,14
Box Elder,BC01,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BC01,President,,Democrat,JOSEPH R. BIDEN,12
Box Elder,BC01,President,,Democrat,BERNIE SANDERS,18
Box Elder,BC01,President,,Democrat,TOM STEYER,1
Box Elder,BC01,President,,Democrat,ELIZABETH WARREN,5
Box Elder,BC01,President,,Democrat,MARIANNE WILLIAMSON,1
Box Elder,BC01,President,,Democrat,TULSI GABBARD,2
Box Elder,BC01,President,,Democrat,AMY KLOBUCHAR,1
Box Elder,BC01,President,,Democrat,DEVAL PATRICK,0
Box Elder,BC01,President,,Democrat,ROQUE DE LA FUENTE,1
Box Elder,BC01,President,,Republican,ROBERT ARDINI,2
Box Elder,BC01,President,,Republican,MATTHEW JOHN MATERN,4
Box Elder,BC01,President,,Republican,BOB ELY,0
Box Elder,BC01,President,,Republican,JOE WALSH,7
Box Elder,BC01,President,,Republican,BILL WELD,15
Box Elder,BC01,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",1
Box Elder,BC01,President,,Republican,DONALD J. TRUMP,194
Box Elder,BC10,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BC10,President,,Democrat,ANDREW YANG,0
Box Elder,BC10,President,,Democrat,CORY BOOKER,0
Box Elder,BC10,President,,Democrat,PETE BUTTIGIEG,0
Box Elder,BC10,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BC10,President,,Democrat,MICHAEL R. BLOOMBERG,6
Box Elder,BC10,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BC10,President,,Democrat,JOSEPH R. BIDEN,7
Box Elder,BC10,President,,Democrat,BERNIE SANDERS,6
Box Elder,BC10,President,,Democrat,TOM STEYER,1
Box Elder,BC10,President,,Democrat,ELIZABETH WARREN,3
Box Elder,BC10,President,,Democrat,MARIANNE WILLIAMSON,1
Box Elder,BC10,President,,Democrat,TULSI GABBARD,0
Box Elder,BC10,President,,Democrat,AMY KLOBUCHAR,0
Box Elder,BC10,President,,Democrat,DEVAL PATRICK,0
Box Elder,BC10,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BC10,President,,Republican,ROBERT ARDINI,0
Box Elder,BC10,President,,Republican,MATTHEW JOHN MATERN,5
Box Elder,BC10,President,,Republican,BOB ELY,2
Box Elder,BC10,President,,Republican,JOE WALSH,8
Box Elder,BC10,President,,Republican,BILL WELD,12
Box Elder,BC10,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",3
Box Elder,BC10,President,,Republican,DONALD J. TRUMP,166
Box Elder,BC11,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BC11,President,,Democrat,ANDREW YANG,1
Box Elder,BC11,President,,Democrat,CORY BOOKER,0
Box Elder,BC11,President,,Democrat,PETE BUTTIGIEG,2
Box Elder,BC11,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BC11,President,,Democrat,MICHAEL R. BLOOMBERG,8
Box Elder,BC11,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BC11,President,,Democrat,JOSEPH R. BIDEN,12
Box Elder,BC11,President,,Democrat,BERNIE SANDERS,13
Box Elder,BC11,President,,Democrat,TOM STEYER,1
Box Elder,BC11,President,,Democrat,ELIZABETH WARREN,3
Box Elder,BC11,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,BC11,President,,Democrat,TULSI GABBARD,1
Box Elder,BC11,President,,Democrat,AMY KLOBUCHAR,2
Box Elder,BC11,President,,Democrat,DEVAL PATRICK,0
Box Elder,BC11,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BC11,President,,Republican,ROBERT ARDINI,2
Box Elder,BC11,President,,Republican,MATTHEW JOHN MATERN,2
Box Elder,BC11,President,,Republican,BOB ELY,1
Box Elder,BC11,President,,Republican,JOE WALSH,4
Box Elder,BC11,President,,Republican,BILL WELD,11
Box Elder,BC11,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",4
Box Elder,BC11,President,,Republican,DONALD J. TRUMP,144
Box Elder,BC12,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BC12,President,,Democrat,ANDREW YANG,1
