county,precinct,office,district,party,candidate,votes
Cache,Amalga,President,,Republican,ROBERT ARDINI,3
Cache,Amalga,President,,Republican,MATTHEW JOHN MATERN,0
Cache,Amalga,President,,Republican,BOB ELY,0
Cache,Amalga,President,,Republican,JOE WALSH,1
Cache,Amalga,President,,Republican,BILL WELD,8
Cache,Amalga,President,,Republican,WITHDRAWN,0
Cache,Amalga,President,,Republican,DONALD J. TRUMP,90
Cache,Amalga,President,,Democrat,JULIÁN CASTRO,0
Cache,Amalga,President,,Democrat,ANDREW YANG,0
Cache,Amalga,President,,Democrat,CORY BOOKER,0
Cache,Amalga,President,,Democrat,PETE BUTTIGIEG,0
Cache,Amalga,President,,Democrat,NATHAN BLOXHAM,0
Cache,Amalga,President,,Democrat,MICHAEL R. BLOOMBERG,3
Cache,Amalga,President,,Democrat,WITHDRAWN,0
Cache,Amalga,President,,Democrat,JOSEPH R. BIDEN,1
Cache,Amalga,President,,Democrat,BERNIE SANDERS,0
Cache,Amalga,President,,Democrat,TOM STEYER,0
Cache,Amalga,President,,Democrat,ELIZABETH WARREN,0
Cache,Amalga,President,,Democrat,MARIANNE WILLIAMSON,0
Cache,Amalga,President,,Democrat,TULSI GABBARD,0
Cache,Amalga,President,,Democrat,AMY KLOBUCHAR,0
Cache,Amalga,President,,Democrat,DEVAL PATRICK,0
Cache,Amalga,President,,Democrat,ROQUE DE LA FUENTE,0
Cache,Benson,President,,Republican,ROBERT ARDINI,0
Cache,Benson,President,,Republican,MATTHEW JOHN MATERN,1
Cache,Benson,President,,Republican,BOB ELY,0
Cache,Benson,President,,Republican,JOE WALSH,0
Cache,Benson,President,,Republican,BILL WELD,11
Cache,Benson,President,,Republican,WITHDRAWN,1
Cache,Benson,President,,Republican,DONALD J. TRUMP,126
Cache,Benson,President,,Democrat,JULIÁN CASTRO,0
Cache,Benson,President,,Democrat,ANDREW YANG,0
Cache,Benson,President,,Democrat,CORY BOOKER,0
Cache,Benson,President,,Democrat,PETE BUTTIGIEG,11
Cache,Benson,President,,Democrat,NATHAN BLOXHAM,0
Cache,Benson,President,,Democrat,MICHAEL R. BLOOMBERG,1
Cache,Benson,President,,Democrat,WITHDRAWN,0
Cache,Benson,President,,Democrat,JOSEPH R. BIDEN,2
Cache,Benson,President,,Democrat,BERNIE SANDERS,5
Cache,Benson,President,,Democrat,TOM STEYER,0
Cache,Benson,President,,Democrat,ELIZABETH WARREN,3
Cache,Benson,President,,Democrat,MARIANNE WILLIAMSON,0
Cache,Benson,President,,Democrat,TULSI GABBARD,1
Cache,Benson,President,,Democrat,AMY KLOBUCHAR,4
Cache,Benson,President,,Democrat,DEVAL PATRICK,0
Cache,Benson,President,,Democrat,ROQUE DE LA FUENTE,0
Cache,Clarkston,President,,Republican,ROBERT ARDINI,0
Cache,Clarkston,President,,Republican,MATTHEW JOHN MATERN,0
Cache,Clarkston,President,,Republican,BOB ELY,0
Cache,Clarkston,President,,Republican,JOE WALSH,1
Cache,Clarkston,President,,Republican,BILL WELD,4
Cache,Clarkston,President,,Republican,WITHDRAWN,0
Cache,Clarkston,President,,Republican,DONALD J. TRUMP,134
Cache,Clarkston,President,,Democrat,JULIÁN CASTRO,0
Cache,Clarkston,President,,Democrat,ANDREW YANG,0
Cache,Clarkston,President,,Democrat,CORY BOOKER,0
Cache,Clarkston,President,,Democrat,PETE BUTTIGIEG,1
Cache,Clarkston,President,,Democrat,NATHAN BLOXHAM,0
Cache,Clarkston,President,,Democrat,MICHAEL R. BLOOMBERG,8
Cache,Clarkston,President,,Democrat,WITHDRAWN,0
Cache,Clarkston,President,,Democrat,JOSEPH R. BIDEN,1
