county,precinct,office,district,party,candidate,votes
Daggett,Dutch John #1,President,,Democrat,JULIAN CASTRO,0
Daggett,Dutch John #1,President,,Democrat,ANDREW YANG,0
Daggett,Dutch John #1,President,,Democrat,CORY BOOKER,0
Daggett,Dutch John #1,President,,Democrat,PETE BUTTIGIEG,0
Daggett,Dutch John #1,President,,Democrat,NATHAN BLOXHAM,0
Daggett,Dutch John #1,President,,Democrat,MICHAEL R. BLOOMBERG,2
Daggett,Dutch John #1,President,,Democrat,MICHAEL BENNET,0
Daggett,Dutch John #1,President,,Democrat,JOSEPH R. BIDEN,1
Daggett,Dutch John #1,President,,Democrat,BERNIE SANDERS,4
Daggett,Dutch John #1,President,,Democrat,TOM STEYER,0
Daggett,Dutch John #1,President,,Democrat,ELIZABETH WARREN,2
Daggett,Dutch John #1,President,,Democrat,MARIANNE WILLIAMSON,0
Daggett,Dutch John #1,President,,Democrat,TULSI GABBARD,0
Daggett,Dutch John #1,President,,Democrat,AMY KLOBUCHAR,0
Daggett,Dutch John #1,President,,Democrat,DEVAL PATRICK,0
Daggett,Dutch John #1,President,,Democrat,ROQUE DE LA FUENTE,0
Daggett,Dutch John #1,President,,Republican,ROBERT ARDINI,0
Daggett,Dutch John #1,President,,Republican,MATTHEW JOHN MATERN,0
Daggett,Dutch John #1,President,,Republican,BOB ELY,0
Daggett,Dutch John #1,President,,Republican,JOE WALSH,3
Daggett,Dutch John #1,President,,Republican,BILL WELD,4
Daggett,Dutch John #1,President,,Republican,Withdrawn,0
Daggett,Dutch John #1,President,,Republican,DONALD J. TRUMP,45
Daggett,Manila #2,President,,Democrat,JULIAN CASTRO,0
Daggett,Manila #2,President,,Democrat,ANDREW YANG,0
Daggett,Manila #2,President,,Democrat,CORY BOOKER,0
Daggett,Manila #2,President,,Democrat,PETE BUTTIGIEG,3
Daggett,Manila #2,President,,Democrat,NATHAN BLOXHAM,0
Daggett,Manila #2,President,,Democrat,MICHAEL R. BLOOMBERG,5
Daggett,Manila #2,President,,Democrat,MICHAEL BENNET,0
Daggett,Manila #2,President,,Democrat,JOSEPH R. BIDEN,9
Daggett,Manila #2,President,,Democrat,BERNIE SANDERS,9
Daggett,Manila #2,President,,Democrat,TOM STEYER,0
Daggett,Manila #2,President,,Democrat,ELIZABETH WARREN,2
Daggett,Manila #2,President,,Democrat,MARIANNE WILLIAMSON,0
Daggett,Manila #2,President,,Democrat,TULSI GABBARD,0
Daggett,Manila #2,President,,Democrat,AMY KLOBUCHAR,2
Daggett,Manila #2,President,,Democrat,DEVAL PATRICK,0
Daggett,Manila #2,President,,Democrat,ROQUE DE LA FUENTE,0
Daggett,Manila #2,President,,Republican,ROBERT ARDINI,1
Daggett,Manila #2,President,,Republican,MATTHEW JOHN MATERN,1
Daggett,Manila #2,President,,Republican,BOB ELY,1
Daggett,Manila #2,President,,Republican,JOE WALSH,2
Daggett,Manila #2,President,,Republican,BILL WELD,10
Daggett,Manila #2,President,,Republican,Withdrawn,2
Daggett,Manila #2,President,,Republican,DONALD J. TRUMP,187
Daggett,Browns Park #3,President,,Democrat,JULIAN CASTRO,0
Daggett,Browns Park #3,President,,Democrat,ANDREW YANG,0
Daggett,Browns Park #3,President,,Democrat,CORY BOOKER,0
Daggett,Browns Park #3,President,,Democrat,PETE BUTTIGIEG,0
Daggett,Browns Park #3,President,,Democrat,NATHAN BLOXHAM,0
Daggett,Browns Park #3,President,,Democrat,MICHAEL R. BLOOMBERG,1
Daggett,Browns Park #3,President,,Democrat,MICHAEL BENNET,0
Daggett,Browns Park #3,President,,Democrat,JOSEPH R. BIDEN,1
Daggett,Browns Park #3,President,,Democrat,BERNIE SANDERS,0
Daggett,Browns Park #3,President,,Democrat,TOM STEYER,0
Daggett,Browns Park #3,President,,Democrat,ELIZABETH WARREN,0
Daggett,Browns Park #3,President,,Democrat,MARIANNE WILLIAMSON,0
Daggett,Browns Park #3,President,,Democrat,TULSI GABBARD,0
Daggett,Browns Park #3,President,,Democrat,AMY KLOBUCHAR,0
Daggett,Browns Park #3,President,,Democrat,DEVAL PATRICK,0
Daggett,Browns Park #3,President,,Democrat,ROQUE DE LA FUENTE,0
Daggett,Browns Park #3,President,,Republican,ROBERT ARDINI,0
Daggett,Browns Park #3,President,,Republican,MATTHEW JOHN MATERN,0
Daggett,Browns Park #3,President,,Republican,BOB ELY,0
Daggett,Browns Park #3,President,,Republican,JOE WALSH,0
Daggett,Browns Park #3,President,,Republican,BILL WELD,0
Daggett,Browns Park #3,President,,Republican,"ROQUE ""ROCKY"" DE LA FUENTE",0
Daggett,Browns Park #3,President,,Republican,DONALD J. TRUMP,3
