county,precinct,office,district,party,candidate,votes
Davis,BO01:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO01:I-S-,President,,Democrat,ANDREW YANG,1
Davis,BO01:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO01:I-S-,President,,Democrat,PETE BUTTIGIEG,14
Davis,BO01:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO01:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,23
Davis,BO01:I-S-,President,,Democrat,JOSEPH R. BIDEN,18
Davis,BO01:I-S-,President,,Democrat,BERNIE SANDERS,39
Davis,BO01:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO01:I-S-,President,,Democrat,ELIZABETH WARREN,20
Davis,BO01:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO01:I-S-,President,,Democrat,TULSI GABBARD,2
Davis,BO01:I-S-,President,,Democrat,AMY KLOBUCHAR,4
Davis,BO01:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO01:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO01:I-S-,President,,Republican,ROBERT ARDINI,7
Davis,BO01:I-S-,President,,Republican,MATTHEW JOHN MATERN,4
Davis,BO01:I-S-,President,,Republican,BOB ELY,1
Davis,BO01:I-S-,President,,Republican,JOE WALSH,4
Davis,BO01:I-S-,President,,Republican,BILL WELD,26
Davis,BO01:I-S-,President,,Republican,DONALD J. TRUMP,185
Davis,BO02:I-S-,President,,Democrat,JULIÁN CASTRO,1
Davis,BO02:I-S-,President,,Democrat,ANDREW YANG,3
Davis,BO02:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO02:I-S-,President,,Democrat,PETE BUTTIGIEG,11
Davis,BO02:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO02:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,10
Davis,BO02:I-S-,President,,Democrat,JOSEPH R. BIDEN,24
Davis,BO02:I-S-,President,,Democrat,BERNIE SANDERS,51
Davis,BO02:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO02:I-S-,President,,Democrat,ELIZABETH WARREN,13
Davis,BO02:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO02:I-S-,President,,Democrat,TULSI GABBARD,0
Davis,BO02:I-S-,President,,Democrat,AMY KLOBUCHAR,5
Davis,BO02:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO02:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO02:I-S-,President,,Republican,ROBERT ARDINI,4
Davis,BO02:I-S-,President,,Republican,MATTHEW JOHN MATERN,1
Davis,BO02:I-S-,President,,Republican,BOB ELY,3
Davis,BO02:I-S-,President,,Republican,JOE WALSH,4
Davis,BO02:I-S-,President,,Republican,BILL WELD,22
Davis,BO02:I-S-,President,,Republican,DONALD J. TRUMP,178
Davis,BO03:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO03:I-S-,President,,Democrat,ANDREW YANG,1
Davis,BO03:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO03:I-S-,President,,Democrat,PETE BUTTIGIEG,6
Davis,BO03:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO03:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,18
Davis,BO03:I-S-,President,,Democrat,JOSEPH R. BIDEN,18
Davis,BO03:I-S-,President,,Democrat,BERNIE SANDERS,29
Davis,BO03:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO03:I-S-,President,,Democrat,ELIZABETH WARREN,24
Davis,BO03:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO03:I-S-,President,,Democrat,TULSI GABBARD,2
Davis,BO03:I-S-,President,,Democrat,AMY KLOBUCHAR,3
Davis,BO03:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO03:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO03:I-S-,President,,Republican,ROBERT ARDINI,1
Davis,BO03:I-S-,President,,Republican,MATTHEW JOHN MATERN,4
Davis,BO03:I-S-,President,,Republican,BOB ELY,0
Davis,BO03:I-S-,President,,Republican,JOE WALSH,12
Davis,BO03:I-S-,President,,Republican,BILL WELD,13
Davis,BO03:I-S-,President,,Republican,DONALD J. TRUMP,123
Davis,BO04,President,,Democrat,JULIÁN CASTRO,0
Davis,BO04,President,,Democrat,ANDREW YANG,5
Davis,BO04,President,,Democrat,CORY BOOKER,0
Davis,BO04,President,,Democrat,PETE BUTTIGIEG,17
Davis,BO04,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO04,President,,Democrat,MICHAEL R. BLOOMBERG,14
Davis,BO04,President,,Democrat,JOSEPH R. BIDEN,16
Davis,BO04,President,,Democrat,BERNIE SANDERS,33
Davis,BO04,President,,Democrat,TOM STEYER,0
Davis,BO04,President,,Democrat,ELIZABETH WARREN,27
Davis,BO04,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO04,President,,Democrat,TULSI GABBARD,1
Davis,BO04,President,,Democrat,AMY KLOBUCHAR,5
Davis,BO04,President,,Democrat,DEVAL PATRICK,0
Davis,BO04,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO04,President,,Republican,ROBERT ARDINI,2
Davis,BO04,President,,Republican,MATTHEW JOHN MATERN,2
Davis,BO04,President,,Republican,BOB ELY,1
Davis,BO04,President,,Republican,JOE WALSH,5
Davis,BO04,President,,Republican,BILL WELD,29
Davis,BO04,President,,Republican,DONALD J. TRUMP,196
Davis,BO05:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO05:I-S-,President,,Democrat,ANDREW YANG,2
Davis,BO05:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO05:I-S-,President,,Democrat,PETE BUTTIGIEG,8
Davis,BO05:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO05:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,14
Davis,BO05:I-S-,President,,Democrat,JOSEPH R. BIDEN,9
Davis,BO05:I-S-,President,,Democrat,BERNIE SANDERS,17
Davis,BO05:I-S-,President,,Democrat,TOM STEYER,1
Davis,BO05:I-S-,President,,Democrat,ELIZABETH WARREN,15
Davis,BO05:I-S-,President,,Democrat,MARIANNE WILLIAMSON,1
Davis,BO05:I-S-,President,,Democrat,TULSI GABBARD,1
Davis,BO05:I-S-,President,,Democrat,AMY KLOBUCHAR,4
Davis,BO05:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO05:I-S-,President,,Democrat,ROQUE DE LA FUENTE,1
Davis,BO05:I-S-,President,,Republican,ROBERT ARDINI,5
Davis,BO05:I-S-,President,,Republican,MATTHEW JOHN MATERN,5
Davis,BO05:I-S-,President,,Republican,BOB ELY,0
Davis,BO05:I-S-,President,,Republican,JOE WALSH,8
Davis,BO05:I-S-,President,,Republican,BILL WELD,16
Davis,BO05:I-S-,President,,Republican,DONALD J. TRUMP,126
Davis,BO06:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO06:I-S-,President,,Democrat,ANDREW YANG,0
Davis,BO06:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO06:I-S-,President,,Democrat,PETE BUTTIGIEG,7
Davis,BO06:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO06:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,19
Davis,BO06:I-S-,President,,Democrat,JOSEPH R. BIDEN,22
Davis,BO06:I-S-,President,,Democrat,BERNIE SANDERS,66
Davis,BO06:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO06:I-S-,President,,Democrat,ELIZABETH WARREN,27
Davis,BO06:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO06:I-S-,President,,Democrat,TULSI GABBARD,2
Davis,BO06:I-S-,President,,Democrat,AMY KLOBUCHAR,3
Davis,BO06:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO06:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO06:I-S-,President,,Republican,ROBERT ARDINI,3
Davis,BO06:I-S-,President,,Republican,MATTHEW JOHN MATERN,5
Davis,BO06:I-S-,President,,Republican,BOB ELY,1
Davis,BO06:I-S-,President,,Republican,JOE WALSH,4
Davis,BO06:I-S-,President,,Republican,BILL WELD,30
Davis,BO06:I-S-,President,,Republican,DONALD J. TRUMP,202
Davis,BO07:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO07:I-S-,President,,Democrat,ANDREW YANG,2
Davis,BO07:I-S-,President,,Democrat,CORY BOOKER,1
Davis,BO07:I-S-,President,,Democrat,PETE BUTTIGIEG,11
Davis,BO07:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO07:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,19
Davis,BO07:I-S-,President,,Democrat,JOSEPH R. BIDEN,24
Davis,BO07:I-S-,President,,Democrat,BERNIE SANDERS,69
Davis,BO07:I-S-,President,,Democrat,TOM STEYER,1
Davis,BO07:I-S-,President,,Democrat,ELIZABETH WARREN,32
Davis,BO07:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO07:I-S-,President,,Democrat,TULSI GABBARD,3
Davis,BO07:I-S-,President,,Democrat,AMY KLOBUCHAR,5
Davis,BO07:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO07:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO07:I-S-,President,,Republican,ROBERT ARDINI,2
Davis,BO07:I-S-,President,,Republican,MATTHEW JOHN MATERN,5
