county,precinct,office,district,party,candidate,votes
Duchesne,AL11,President,,Democrat,JULIÁN CASTRO,0
Duchesne,AL11,President,,Democrat,ANDREW YANG,0
Duchesne,AL11,President,,Democrat,CORY BOOKER,0
Duchesne,AL11,President,,Democrat,PETE BUTTIGIEG,2
Duchesne,AL11,President,,Democrat,NATHAN BLOXHAM,0
Duchesne,AL11,President,,Democrat,MICHAEL R. BLOOMBERG,0
Duchesne,AL11,President,,Democrat,Withdrawn,0
Duchesne,AL11,President,,Democrat,JOSEPH R. BIDEN,3
Duchesne,AL11,President,,Democrat,BERNIE SANDERS,0
Duchesne,AL11,President,,Democrat,TOM STEYER,0
Duchesne,AL11,President,,Democrat,ELIZABETH WARREN,1
Duchesne,AL11,President,,Democrat,MARIANNE WILLIAMSON,0
Duchesne,AL11,President,,Democrat,TULSI GABBARD,0
Duchesne,AL11,President,,Democrat,AMY KLOBUCHAR,0
Duchesne,AL11,President,,Democrat,DEVAL PATRICK,0
Duchesne,AL11,President,,Democrat,ROQUE DE LA FUENTE,0
Duchesne,AL11,President,,Republican,ROBERT ARDINI,0
Duchesne,AL11,President,,Republican,MATTHEW JOHN MATERN,0
Duchesne,AL11,President,,Republican,BOB ELY,0
Duchesne,AL11,President,,Republican,JOE WALSH,0
Duchesne,AL11,President,,Republican,BILL WELD,1
Duchesne,AL11,President,,Republican,Withdrawn,0
Duchesne,AL11,President,,Republican,DONALD J. TRUMP,177
Duchesne,AL12,President,,Democrat,JULIÁN CASTRO,0
Duchesne,AL12,President,,Democrat,ANDREW YANG,0
Duchesne,AL12,President,,Democrat,CORY BOOKER,0
Duchesne,AL12,President,,Democrat,PETE BUTTIGIEG,1
Duchesne,AL12,President,,Democrat,NATHAN BLOXHAM,0
Duchesne,AL12,President,,Democrat,MICHAEL R. BLOOMBERG,0
Duchesne,AL12,President,,Democrat,Withdrawn,0
Duchesne,AL12,President,,Democrat,JOSEPH R. BIDEN,0
Duchesne,AL12,President,,Democrat,BERNIE SANDERS,1
Duchesne,AL12,President,,Democrat,TOM STEYER,0
Duchesne,AL12,President,,Democrat,ELIZABETH WARREN,1
Duchesne,AL12,President,,Democrat,MARIANNE WILLIAMSON,0
Duchesne,AL12,President,,Democrat,TULSI GABBARD,0
Duchesne,AL12,President,,Democrat,AMY KLOBUCHAR,0
Duchesne,AL12,President,,Democrat,DEVAL PATRICK,0
Duchesne,AL12,President,,Democrat,ROQUE DE LA FUENTE,0
Duchesne,AL12,President,,Democrat,JULIÁN CASTRO,0
Duchesne,AL12,President,,Democrat,ANDREW YANG,0
Duchesne,AL12,President,,Democrat,CORY BOOKER,0
Duchesne,AL12,President,,Democrat,PETE BUTTIGIEG,1
Duchesne,AL12,President,,Democrat,NATHAN BLOXHAM,0
Duchesne,AL12,President,,Democrat,MICHAEL R. BLOOMBERG,0
Duchesne,AL12,President,,Democrat,Withdrawn,0
Duchesne,AL12,President,,Democrat,JOSEPH R. BIDEN,0
Duchesne,AL12,President,,Democrat,BERNIE SANDERS,1
Duchesne,AL12,President,,Democrat,TOM STEYER,0
Duchesne,AL12,President,,Democrat,ELIZABETH WARREN,1
Duchesne,AL12,President,,Democrat,MARIANNE WILLIAMSON,0
Duchesne,AL12,President,,Democrat,TULSI GABBARD,0
Duchesne,AL12,President,,Democrat,AMY KLOBUCHAR,0
Duchesne,AL12,President,,Democrat,DEVAL PATRICK,0
Duchesne,AL12,President,,Democrat,ROQUE DE LA FUENTE,0
Duchesne,AL12,President,,Republican,ROBERT ARDINI,0
Duchesne,AL12,President,,Republican,MATTHEW JOHN MATERN,0
Duchesne,AL12,President,,Republican,BOB ELY,0
Duchesne,AL12,President,,Republican,JOE WALSH,0
Duchesne,AL12,President,,Republican,BILL WELD,0
Duchesne,AL12,President,,Republican,Withdrawn,0
Duchesne,AL12,President,,Republican,DONALD J. TRUMP,33
Duchesne,AR11,President,,Democrat,JULIÁN CASTRO,0
Duchesne,AR11,President,,Democrat,ANDREW YANG,0
Duchesne,AR11,President,,Democrat,CORY BOOKER,0
Duchesne,AR11,President,,Democrat,PETE BUTTIGIEG,0
Duchesne,AR11,President,,Democrat,NATHAN BLOXHAM,0
Duchesne,AR11,President,,Democrat,MICHAEL R. BLOOMBERG,3
Duchesne,AR11,President,,Democrat,Withdrawn,0
Duchesne,AR11,President,,Democrat,JOSEPH R. BIDEN,0
Duchesne,AR11,President,,Democrat,BERNIE SANDERS,1
Duchesne,AR11,President,,Democrat,TOM STEYER,0
Duchesne,AR11,President,,Democrat,ELIZABETH WARREN,0
Duchesne,AR11,President,,Democrat,MARIANNE WILLIAMSON,0
Duchesne,AR11,President,,Democrat,TULSI GABBARD,0
Duchesne,AR11,President,,Democrat,AMY KLOBUCHAR,1
Duchesne,AR11,President,,Democrat,DEVAL PATRICK,0
Duchesne,AR11,President,,Democrat,ROQUE DE LA FUENTE,0
Duchesne,AR11,President,,Democrat,JULIÁN CASTRO,0
Duchesne,AR11,President,,Democrat,ANDREW YANG,0
Duchesne,AR11,President,,Democrat,CORY BOOKER,0
Duchesne,AR11,President,,Democrat,PETE BUTTIGIEG,0
Duchesne,AR11,President,,Democrat,NATHAN BLOXHAM,0
Duchesne,AR11,President,,Democrat,MICHAEL R. BLOOMBERG,3
Duchesne,AR11,President,,Democrat,Withdrawn,0
Duchesne,AR11,President,,Democrat,JOSEPH R. BIDEN,0
Duchesne,AR11,President,,Democrat,BERNIE SANDERS,1
Duchesne,AR11,President,,Democrat,TOM STEYER,0
Duchesne,AR11,President,,Democrat,ELIZABETH WARREN,0
Duchesne,AR11,President,,Democrat,MARIANNE WILLIAMSON,0
Duchesne,AR11,President,,Democrat,TULSI GABBARD,0
Duchesne,AR11,President,,Democrat,AMY KLOBUCHAR,1
Duchesne,AR11,President,,Democrat,DEVAL PATRICK,0
Duchesne,AR11,President,,Democrat,ROQUE DE LA FUENTE,0
Duchesne,AR11,President,,Republican,ROBERT ARDINI,0
Duchesne,AR11,President,,Republican,MATTHEW JOHN MATERN,0
Duchesne,AR11,President,,Republican,BOB ELY,1
Duchesne,AR11,President,,Republican,JOE WALSH,0
Duchesne,AR11,President,,Republican,BILL WELD,5
Duchesne,AR11,President,,Republican,Withdrawn,0
Duchesne,AR11,President,,Republican,DONALD J. TRUMP,62
Duchesne,BB11,President,,Democrat,JULIÁN CASTRO,0
Duchesne,BB11,President,,Democrat,ANDREW YANG,0
Duchesne,BB11,President,,Democrat,CORY BOOKER,0
Duchesne,BB11,President,,Democrat,PETE BUTTIGIEG,0
Duchesne,BB11,President,,Democrat,NATHAN BLOXHAM,0
Duchesne,BB11,President,,Democrat,MICHAEL R. BLOOMBERG,1
Duchesne,BB11,President,,Democrat,Withdrawn,0
Duchesne,BB11,President,,Democrat,JOSEPH R. BIDEN,0
Duchesne,BB11,President,,Democrat,BERNIE SANDERS,0
Duchesne,BB11,President,,Democrat,TOM STEYER,0
Duchesne,BB11,President,,Democrat,ELIZABETH WARREN,0
Duchesne,BB11,President,,Democrat,MARIANNE WILLIAMSON,0
Duchesne,BB11,President,,Democrat,TULSI GABBARD,0
Duchesne,BB11,President,,Democrat,AMY KLOBUCHAR,0
Duchesne,BB11,President,,Democrat,DEVAL PATRICK,0
Duchesne,BB11,President,,Democrat,ROQUE DE LA FUENTE,0
Duchesne,BB11,President,,Democrat,JULIÁN CASTRO,0
Duchesne,BB11,President,,Democrat,ANDREW YANG,0
Duchesne,BB11,President,,Democrat,CORY BOOKER,0
