county,precinct,office,district,party,candidate,votes
Garfield,AN 1,President,,Democrat,Julian Castro,0
Garfield,BO 2,President,,Democrat,Julian Castro,0
Garfield,BR 3,President,,Democrat,Julian Castro,0
Garfield,CA 4,President,,Democrat,Julian Castro,0
Garfield,ES 5,President,,Democrat,Julian Castro,0
Garfield,HA 6,President,,Democrat,Julian Castro,0
Garfield,HE 7,President,,Democrat,Julian Castro,0
Garfield,PA 7,President,,Democrat,Julian Castro,0
Garfield,PA 8,President,,Democrat,Julian Castro,0
Garfield,TI 9,President,,Democrat,Julian Castro,0
Garfield,TR 10,President,,Democrat,Julian Castro,0
Garfield,AN 1,President,,Democrat,Andrew Yang,0
Garfield,BO 2,President,,Democrat,Andrew Yang,0
Garfield,BR 3,President,,Democrat,Andrew Yang,0
Garfield,CA 4,President,,Democrat,Andrew Yang,0
Garfield,ES 5,President,,Democrat,Andrew Yang,0
Garfield,HA 6,President,,Democrat,Andrew Yang,0
Garfield,HE 7,President,,Democrat,Andrew Yang,0
Garfield,PA 7,President,,Democrat,Andrew Yang,0
Garfield,PA 8,President,,Democrat,Andrew Yang,1
Garfield,TI 9,President,,Democrat,Andrew Yang,0
Garfield,TR 10,President,,Democrat,Andrew Yang,1
Garfield,AN 1,President,,Democrat,Cory Booker,0
Garfield,BO 2,President,,Democrat,Cory Booker,1
Garfield,BR 3,President,,Democrat,Cory Booker,0
Garfield,CA 4,President,,Democrat,Cory Booker,0
Garfield,ES 5,President,,Democrat,Cory Booker,0
Garfield,HA 6,President,,Democrat,Cory Booker,0
Garfield,HE 7,President,,Democrat,Cory Booker,1
Garfield,PA 7,President,,Democrat,Cory Booker,0
Garfield,PA 8,President,,Democrat,Cory Booker,0
Garfield,TI 9,President,,Democrat,Cory Booker,0
Garfield,TR 10,President,,Democrat,Cory Booker,0
Garfield,AN 1,President,,Democrat,Pete Buttigieg,0
Garfield,BO 2,President,,Democrat,Pete Buttigieg,6
Garfield,BR 3,President,,Democrat,Pete Buttigieg,0
Garfield,CA 4,President,,Democrat,Pete Buttigieg,0
Garfield,ES 5,President,,Democrat,Pete Buttigieg,4
Garfield,HA 6,President,,Democrat,Pete Buttigieg,4
Garfield,HE 7,President,,Democrat,Pete Buttigieg,0
Garfield,PA 7,President,,Democrat,Pete Buttigieg,5
Garfield,PA 8,President,,Democrat,Pete Buttigieg,2
Garfield,TI 9,President,,Democrat,Pete Buttigieg,0
Garfield,TR 10,President,,Democrat,Pete Buttigieg,0
Garfield,AN 1,President,,Democrat,Nathan Bloxham,0
Garfield,BO 2,President,,Democrat,Nathan Bloxham,0
Garfield,BR 3,President,,Democrat,Nathan Bloxham,0
Garfield,CA 4,President,,Democrat,Nathan Bloxham,0
Garfield,ES 5,President,,Democrat,Nathan Bloxham,0
Garfield,HA 6,President,,Democrat,Nathan Bloxham,0
Garfield,HE 7,President,,Democrat,Nathan Bloxham,0
Garfield,PA 7,President,,Democrat,Nathan Bloxham,0
Garfield,PA 8,President,,Democrat,Nathan Bloxham,0
Garfield,TI 9,President,,Democrat,Nathan Bloxham,0
Garfield,TR 10,President,,Democrat,Nathan Bloxham,0
Garfield,AN 1,President,,Democrat,Micheal R. Bloomberg,1
Garfield,BO 2,President,,Democrat,Micheal R. Bloomberg,6
Garfield,BR 3,President,,Democrat,Micheal R. Bloomberg,0
Garfield,CA 4,President,,Democrat,Micheal R. Bloomberg,1
Garfield,ES 5,President,,Democrat,Micheal R. Bloomberg,7
Garfield,HA 6,President,,Democrat,Micheal R. Bloomberg,1
Garfield,HE 7,President,,Democrat,Micheal R. Bloomberg,1
Garfield,PA 7,President,,Democrat,Micheal R. Bloomberg,7
Garfield,PA 8,President,,Democrat,Micheal R. Bloomberg,2
Garfield,TI 9,President,,Democrat,Micheal R. Bloomberg,2
Garfield,TR 10,President,,Democrat,Micheal R. Bloomberg,1
Garfield,AN 1,President,,Democrat,Michael Bennet,0
Garfield,BO 2,President,,Democrat,Michael Bennet,0
Garfield,BR 3,President,,Democrat,Michael Bennet,0
Garfield,CA 4,President,,Democrat,Michael Bennet,0
Garfield,ES 5,President,,Democrat,Michael Bennet,0
Garfield,HA 6,President,,Democrat,Michael Bennet,0
Garfield,HE 7,President,,Democrat,Michael Bennet,0
Garfield,PA 7,President,,Democrat,Michael Bennet,0
Garfield,PA 8,President,,Democrat,Michael Bennet,0
