county,precinct,office,district,party,candidate,votes
Millard,Abraham 14,President,,Democrat,JULIÁN CASTRO,0
Millard,Abraham 14,President,,Democrat,ANDREW YANG,0
Millard,Abraham 14,President,,Democrat,CORY BOOKER,0
Millard,Abraham 14,President,,Democrat,PETE BUTTIGIEG,0
Millard,Abraham 14,President,,Democrat,NATHAN BLOXHAM,0
Millard,Abraham 14,President,,Democrat,MICHAEL R. BLOOMBERG,1
Millard,Abraham 14,President,,Democrat,Withdrawn,0
Millard,Abraham 14,President,,Democrat,JOSEPH R. BIDEN,0
Millard,Abraham 14,President,,Democrat,BERNIE SANDERS,1
Millard,Abraham 14,President,,Democrat,TOM STEYER,0
Millard,Abraham 14,President,,Democrat,ELIZABETH WARREN,0
Millard,Abraham 14,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Delta 17,President,,Democrat,JULIÁN CASTRO,0
Millard,Delta 17,President,,Democrat,ANDREW YANG,0
Millard,Delta 17,President,,Democrat,CORY BOOKER,0
Millard,Delta 17,President,,Democrat,PETE BUTTIGIEG,4
Millard,Delta 17,President,,Democrat,NATHAN BLOXHAM,0
Millard,Delta 17,President,,Democrat,MICHAEL R. BLOOMBERG,6
Millard,Delta 17,President,,Democrat,Withdrawn,1
Millard,Delta 17,President,,Democrat,JOSEPH R. BIDEN,8
Millard,Delta 17,President,,Democrat,BERNIE SANDERS,4
Millard,Delta 17,President,,Democrat,TOM STEYER,0
Millard,Delta 17,President,,Democrat,ELIZABETH WARREN,5
Millard,Delta 17,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Delta 18,President,,Democrat,JULIÁN CASTRO,0
Millard,Delta 18,President,,Democrat,ANDREW YANG,0
Millard,Delta 18,President,,Democrat,CORY BOOKER,1
Millard,Delta 18,President,,Democrat,PETE BUTTIGIEG,5
Millard,Delta 18,President,,Democrat,NATHAN BLOXHAM,0
Millard,Delta 18,President,,Democrat,MICHAEL R. BLOOMBERG,15
Millard,Delta 18,President,,Democrat,Withdrawn,0
Millard,Delta 18,President,,Democrat,JOSEPH R. BIDEN,9
Millard,Delta 18,President,,Democrat,BERNIE SANDERS,7
Millard,Delta 18,President,,Democrat,TOM STEYER,0
Millard,Delta 18,President,,Democrat,ELIZABETH WARREN,4
Millard,Delta 18,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Deseret-Oasi,President,,Democrat,JULIÁN CASTRO,0
Millard,Deseret-Oasi,President,,Democrat,ANDREW YANG,0
Millard,Deseret-Oasi,President,,Democrat,CORY BOOKER,0
Millard,Deseret-Oasi,President,,Democrat,PETE BUTTIGIEG,2
Millard,Deseret-Oasi,President,,Democrat,NATHAN BLOXHAM,0
Millard,Deseret-Oasi,President,,Democrat,MICHAEL R. BLOOMBERG,1
Millard,Deseret-Oasi,President,,Democrat,Withdrawn,0
Millard,Deseret-Oasi,President,,Democrat,JOSEPH R. BIDEN,6
Millard,Deseret-Oasi,President,,Democrat,BERNIE SANDERS,2
Millard,Deseret-Oasi,President,,Democrat,TOM STEYER,0
Millard,Deseret-Oasi,President,,Democrat,ELIZABETH WARREN,1
Millard,Deseret-Oasi,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Fillmore 1,President,,Democrat,JULIÁN CASTRO,1
Millard,Fillmore 1,President,,Democrat,ANDREW YANG,0
Millard,Fillmore 1,President,,Democrat,CORY BOOKER,0
Millard,Fillmore 1,President,,Democrat,PETE BUTTIGIEG,1
Millard,Fillmore 1,President,,Democrat,NATHAN BLOXHAM,0
Millard,Fillmore 1,President,,Democrat,MICHAEL R. BLOOMBERG,4
Millard,Fillmore 1,President,,Democrat,Withdrawn,0
Millard,Fillmore 1,President,,Democrat,JOSEPH R. BIDEN,11
Millard,Fillmore 1,President,,Democrat,BERNIE SANDERS,0
Millard,Fillmore 1,President,,Democrat,TOM STEYER,0
Millard,Fillmore 1,President,,Democrat,ELIZABETH WARREN,1
Millard,Fillmore 1,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Fillmore 2,President,,Democrat,JULIÁN CASTRO,0
Millard,Fillmore 2,President,,Democrat,ANDREW YANG,0
Millard,Fillmore 2,President,,Democrat,CORY BOOKER,0
Millard,Fillmore 2,President,,Democrat,PETE BUTTIGIEG,2
Millard,Fillmore 2,President,,Democrat,NATHAN BLOXHAM,0
Millard,Fillmore 2,President,,Democrat,MICHAEL R. BLOOMBERG,6
Millard,Fillmore 2,President,,Democrat,Withdrawn,1
