county,precinct,office,district,candidate,party,votes,mail,election_day,early_voting
Salt Lake,ALT001,President,,AMY KLOBUCHAR,DEM,2,2,0,0
Salt Lake,ALT001,President,,ANDREW YANG,DEM,1,1,0,0
Salt Lake,ALT001,President,,BERNIE SANDERS,DEM,29,19,8,2
Salt Lake,ALT001,President,,CORY BOOKER,DEM,0,0,0,0
Salt Lake,ALT001,President,,DEVAL PATRICK,DEM,0,0,0,0
Salt Lake,ALT001,President,,ELIZABETH WARREN,DEM,8,6,1,1
Salt Lake,ALT001,President,,JOSEPH R. BIDEN,DEM,14,9,3,2
Salt Lake,ALT001,President,,JULIÁN CASTRO,DEM,0,0,0,0
Salt Lake,ALT001,President,,MARIANNE WILLIAMSON,DEM,0,0,0,0
Salt Lake,ALT001,President,,MICHAEL R. BLOOMBERG,DEM,8,5,1,2
Salt Lake,ALT001,President,,NATHAN BLOXHAM,DEM,0,0,0,0
Salt Lake,ALT001,President,,PETE BUTTIGIEG,DEM,3,3,0,0
Salt Lake,ALT001,President,,ROQUE DE LA FUENTE,DEM,0,0,0,0
Salt Lake,ALT001,President,,TOM STEYER,DEM,0,0,0,0
Salt Lake,ALT001,President,,TULSI GABBARD,DEM,0,0,0,0
Salt Lake,BLF001,President,,AMY KLOBUCHAR,DEM,1,1,0,0
Salt Lake,BLF001,President,,ANDREW YANG,DEM,0,0,0,0
Salt Lake,BLF001,President,,BERNIE SANDERS,DEM,28,13,15,0
Salt Lake,BLF001,President,,CORY BOOKER,DEM,0,0,0,0
Salt Lake,BLF001,President,,DEVAL PATRICK,DEM,0,0,0,0
Salt Lake,BLF001,President,,ELIZABETH WARREN,DEM,13,8,5,0
Salt Lake,BLF001,President,,JOSEPH R. BIDEN,DEM,26,16,10,0
Salt Lake,BLF001,President,,JULIÁN CASTRO,DEM,0,0,0,0
Salt Lake,BLF001,President,,MARIANNE WILLIAMSON,DEM,0,0,0,0
Salt Lake,BLF001,President,,MICHAEL R. BLOOMBERG,DEM,22,9,13,0
Salt Lake,BLF001,President,,NATHAN BLOXHAM,DEM,0,0,0,0
Salt Lake,BLF001,President,,PETE BUTTIGIEG,DEM,3,2,0,1
Salt Lake,BLF001,President,,ROQUE DE LA FUENTE,DEM,0,0,0,0
Salt Lake,BLF001,President,,TOM STEYER,DEM,0,0,0,0
Salt Lake,BLF001,President,,TULSI GABBARD,DEM,1,1,0,0
Salt Lake,BLF002,President,,AMY KLOBUCHAR,DEM,5,5,0,0
Salt Lake,BLF002,President,,ANDREW YANG,DEM,1,0,1,0
Salt Lake,BLF002,President,,BERNIE SANDERS,DEM,71,49,22,0
Salt Lake,BLF002,President,,CORY BOOKER,DEM,0,0,0,0
Salt Lake,BLF002,President,,DEVAL PATRICK,DEM,0,0,0,0
Salt Lake,BLF002,President,,ELIZABETH WARREN,DEM,15,11,3,1
Salt Lake,BLF002,President,,JOSEPH R. BIDEN,DEM,32,13,18,1
Salt Lake,BLF002,President,,JULIÁN CASTRO,DEM,0,0,0,0
Salt Lake,BLF002,President,,MARIANNE WILLIAMSON,DEM,0,0,0,0
Salt Lake,BLF002,President,,MICHAEL R. BLOOMBERG,DEM,13,11,2,0
Salt Lake,BLF002,President,,NATHAN BLOXHAM,DEM,0,0,0,0
Salt Lake,BLF002,President,,PETE BUTTIGIEG,DEM,21,18,0,3
Salt Lake,BLF002,President,,ROQUE DE LA FUENTE,DEM,0,0,0,0
Salt Lake,BLF002,President,,TOM STEYER,DEM,1,1,0,0
Salt Lake,BLF002,President,,TULSI GABBARD,DEM,3,0,3,0
Salt Lake,BLF003,President,,AMY KLOBUCHAR,DEM,2,2,0,0
Salt Lake,BLF003,President,,ANDREW YANG,DEM,0,0,0,0
Salt Lake,BLF003,President,,BERNIE SANDERS,DEM,46,25,18,3
Salt Lake,BLF003,President,,CORY BOOKER,DEM,0,0,0,0
Salt Lake,BLF003,President,,DEVAL PATRICK,DEM,0,0,0,0
Salt Lake,BLF003,President,,ELIZABETH WARREN,DEM,19,14,5,0
Salt Lake,BLF003,President,,JOSEPH R. BIDEN,DEM,20,6,13,1
Salt Lake,BLF003,President,,JULIÁN CASTRO,DEM,0,0,0,0
Salt Lake,BLF003,President,,MARIANNE WILLIAMSON,DEM,0,0,0,0
Salt Lake,BLF003,President,,MICHAEL R. BLOOMBERG,DEM,20,17,3,0
Salt Lake,BLF003,President,,NATHAN BLOXHAM,DEM,0,0,0,0
Salt Lake,BLF003,President,,PETE BUTTIGIEG,DEM,8,7,1,0
Salt Lake,BLF003,President,,ROQUE DE LA FUENTE,DEM,1,1,0,0
Salt Lake,BLF003,President,,TOM STEYER,DEM,0,0,0,0
Salt Lake,BLF003,President,,TULSI GABBARD,DEM,0,0,0,0
Salt Lake,BLF004,President,,AMY KLOBUCHAR,DEM,0,0,0,0
Salt Lake,BLF004,President,,ANDREW YANG,DEM,1,0,1,0
Salt Lake,BLF004,President,,BERNIE SANDERS,DEM,24,14,9,1
Salt Lake,BLF004,President,,CORY BOOKER,DEM,0,0,0,0
Salt Lake,BLF004,President,,DEVAL PATRICK,DEM,0,0,0,0
Salt Lake,BLF004,President,,ELIZABETH WARREN,DEM,10,6,4,0
