county,precinct,office,district,party,candidate,votes
San Juan,1,President,,Democrat,JULIAN CASTRO,0
San Juan,2GD,President,,Democrat,JULIAN CASTRO,0
San Juan,2,President,,Democrat,JULIAN CASTRO,0
San Juan,2MC,President,,Democrat,JULIAN CASTRO,1
San Juan,3,President,,Democrat,JULIAN CASTRO,2
San Juan,4,President,,Democrat,JULIAN CASTRO,0
San Juan,4BD,President,,Democrat,JULIAN CASTRO,0
San Juan,5,President,,Democrat,JULIAN CASTRO,0
San Juan,5BD,President,,Democrat,JULIAN CASTRO,0
San Juan,6,President,,Democrat,JULIAN CASTRO,0
San Juan,6BD,President,,Democrat,JULIAN CASTRO,0
San Juan,7BD,President,,Democrat,JULIAN CASTRO,0
San Juan,7BD2,President,,Democrat,JULIAN CASTRO,0
San Juan,8,President,,Democrat,JULIAN CASTRO,0
San Juan,8BD,President,,Democrat,JULIAN CASTRO,0
San Juan,8BF,President,,Democrat,JULIAN CASTRO,0
San Juan,9,President,,Democrat,JULIAN CASTRO,0
San Juan,10,President,,Democrat,JULIAN CASTRO,0
San Juan,10BF,President,,Democrat,JULIAN CASTRO,0
San Juan,11,President,,Democrat,JULIAN CASTRO,2
San Juan,11BF,President,,Democrat,JULIAN CASTRO,0
San Juan,12BD,President,,Democrat,JULIAN CASTRO,0
San Juan,12,President,,Democrat,JULIAN CASTRO,0
San Juan,1,President,,Democrat,ANDREW YANG,0
San Juan,2GD,President,,Democrat,ANDREW YANG,0
San Juan,2,President,,Democrat,ANDREW YANG,0
San Juan,2MC,President,,Democrat,ANDREW YANG,1
San Juan,3,President,,Democrat,ANDREW YANG,3
San Juan,4,President,,Democrat,ANDREW YANG,0
San Juan,4BD,President,,Democrat,ANDREW YANG,0
San Juan,5,President,,Democrat,ANDREW YANG,0
San Juan,5BD,President,,Democrat,ANDREW YANG,1
San Juan,6,President,,Democrat,ANDREW YANG,0
San Juan,6BD,President,,Democrat,ANDREW YANG,0
San Juan,7BD,President,,Democrat,ANDREW YANG,0
San Juan,7BD2,President,,Democrat,ANDREW YANG,0
San Juan,8,President,,Democrat,ANDREW YANG,1
San Juan,8BD,President,,Democrat,ANDREW YANG,0
San Juan,8BF,President,,Democrat,ANDREW YANG,0
San Juan,9,President,,Democrat,ANDREW YANG,0
San Juan,10,President,,Democrat,ANDREW YANG,0
San Juan,10BF,President,,Democrat,ANDREW YANG,0
San Juan,11,President,,Democrat,ANDREW YANG,12
San Juan,11BF,President,,Democrat,ANDREW YANG,0
San Juan,12BD,President,,Democrat,ANDREW YANG,1
San Juan,12,President,,Democrat,ANDREW YANG,0
San Juan,1,President,,Democrat,CORY BOOKER,0
San Juan,2GD,President,,Democrat,CORY BOOKER,0
San Juan,2,President,,Democrat,CORY BOOKER,0
San Juan,2MC,President,,Democrat,CORY BOOKER,1
San Juan,3,President,,Democrat,CORY BOOKER,1
San Juan,4,President,,Democrat,CORY BOOKER,0
San Juan,4BD,President,,Democrat,CORY BOOKER,0
San Juan,5,President,,Democrat,CORY BOOKER,0
San Juan,5BD,President,,Democrat,CORY BOOKER,0
San Juan,6,President,,Democrat,CORY BOOKER,0
San Juan,6BD,President,,Democrat,CORY BOOKER,0
San Juan,7BD,President,,Democrat,CORY BOOKER,0
San Juan,7BD2,President,,Democrat,CORY BOOKER,0
San Juan,8,President,,Democrat,CORY BOOKER,0
San Juan,8BD,President,,Democrat,CORY BOOKER,0
San Juan,8BF,President,,Democrat,CORY BOOKER,0
San Juan,9,President,,Democrat,CORY BOOKER,0
San Juan,10,President,,Democrat,CORY BOOKER,0
San Juan,10BF,President,,Democrat,CORY BOOKER,0
San Juan,11,President,,Democrat,CORY BOOKER,2
San Juan,11BF,President,,Democrat,CORY BOOKER,0
San Juan,12BD,President,,Democrat,CORY BOOKER,1
San Juan,12,President,,Democrat,CORY BOOKER,0
San Juan,1,President,,Democrat,PETE BUTTIGIEG,2
San Juan,2GD,President,,Democrat,PETE BUTTIGIEG,0
San Juan,2,President,,Democrat,PETE BUTTIGIEG,6
San Juan,2MC,President,,Democrat,PETE BUTTIGIEG,1
San Juan,3,President,,Democrat,PETE BUTTIGIEG,15
San Juan,4,President,,Democrat,PETE BUTTIGIEG,2
San Juan,4BD,President,,Democrat,PETE BUTTIGIEG,0
San Juan,5,President,,Democrat,PETE BUTTIGIEG,0
San Juan,5BD,President,,Democrat,PETE BUTTIGIEG,3
San Juan,6,President,,Democrat,PETE BUTTIGIEG,0
San Juan,6BD,President,,Democrat,PETE BUTTIGIEG,0
San Juan,7BD,President,,Democrat,PETE BUTTIGIEG,1
San Juan,7BD2,President,,Democrat,PETE BUTTIGIEG,0
San Juan,8,President,,Democrat,PETE BUTTIGIEG,9
San Juan,8BD,President,,Democrat,PETE BUTTIGIEG,0
San Juan,8BF,President,,Democrat,PETE BUTTIGIEG,0
San Juan,9,President,,Democrat,PETE BUTTIGIEG,0
San Juan,10,President,,Democrat,PETE BUTTIGIEG,3
San Juan,10BF,President,,Democrat,PETE BUTTIGIEG,2
San Juan,11,President,,Democrat,PETE BUTTIGIEG,8
San Juan,11BF,President,,Democrat,PETE BUTTIGIEG,0
San Juan,12BD,President,,Democrat,PETE BUTTIGIEG,2
San Juan,12,President,,Democrat,PETE BUTTIGIEG,0
San Juan,1,President,,Democrat,NATHAN BLOXHAM,0
San Juan,2GD,President,,Democrat,NATHAN BLOXHAM,0
San Juan,2,President,,Democrat,NATHAN BLOXHAM,0
San Juan,2MC,President,,Democrat,NATHAN BLOXHAM,0
San Juan,3,President,,Democrat,NATHAN BLOXHAM,2
San Juan,4,President,,Democrat,NATHAN BLOXHAM,0
San Juan,4BD,President,,Democrat,NATHAN BLOXHAM,0
San Juan,5,President,,Democrat,NATHAN BLOXHAM,0
San Juan,5BD,President,,Democrat,NATHAN BLOXHAM,0
San Juan,6,President,,Democrat,NATHAN BLOXHAM,0
San Juan,6BD,President,,Democrat,NATHAN BLOXHAM,0
San Juan,7BD,President,,Democrat,NATHAN BLOXHAM,0
San Juan,7BD2,President,,Democrat,NATHAN BLOXHAM,0
San Juan,8,President,,Democrat,NATHAN BLOXHAM,0
San Juan,8BD,President,,Democrat,NATHAN BLOXHAM,0
San Juan,8BF,President,,Democrat,NATHAN BLOXHAM,0
San Juan,9,President,,Democrat,NATHAN BLOXHAM,0
San Juan,10,President,,Democrat,NATHAN BLOXHAM,0
San Juan,10BF,President,,Democrat,NATHAN BLOXHAM,0
San Juan,11,President,,Democrat,NATHAN BLOXHAM,0
San Juan,11BF,President,,Democrat,NATHAN BLOXHAM,0
San Juan,12BD,President,,Democrat,NATHAN BLOXHAM,0
San Juan,12,President,,Democrat,NATHAN BLOXHAM,0
San Juan,1,President,,Democrat,MICHAEL BLOOMBERG,4
San Juan,2GD,President,,Democrat,MICHAEL BLOOMBERG,0
San Juan,2,President,,Democrat,MICHAEL BLOOMBERG,5
San Juan,2MC,President,,Democrat,MICHAEL BLOOMBERG,12
San Juan,3,President,,Democrat,MICHAEL BLOOMBERG,50
San Juan,4,President,,Democrat,MICHAEL BLOOMBERG,0
San Juan,4BD,President,,Democrat,MICHAEL BLOOMBERG,0
San Juan,5,President,,Democrat,MICHAEL BLOOMBERG,0
San Juan,5BD,President,,Democrat,MICHAEL BLOOMBERG,5
San Juan,6,President,,Democrat,MICHAEL BLOOMBERG,1
San Juan,6BD,President,,Democrat,MICHAEL BLOOMBERG,0
San Juan,7BD,President,,Democrat,MICHAEL BLOOMBERG,6
San Juan,7BD2,President,,Democrat,MICHAEL BLOOMBERG,0
San Juan,8,President,,Democrat,MICHAEL BLOOMBERG,34
San Juan,8BD,President,,Democrat,MICHAEL BLOOMBERG,1
San Juan,8BF,President,,Democrat,MICHAEL BLOOMBERG,0
San Juan,9,President,,Democrat,MICHAEL BLOOMBERG,2
San Juan,10,President,,Democrat,MICHAEL BLOOMBERG,11
San Juan,10BF,President,,Democrat,MICHAEL BLOOMBERG,7
San Juan,11,President,,Democrat,MICHAEL BLOOMBERG,52
San Juan,11BF,President,,Democrat,MICHAEL BLOOMBERG,0
San Juan,12BD,President,,Democrat,MICHAEL BLOOMBERG,7
San Juan,12,President,,Democrat,MICHAEL BLOOMBERG,0
San Juan,1,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,2GD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,2,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,2MC,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,3,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,4,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,4BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,5,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,5BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,6,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,6BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,7BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,7BD2,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,8,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,8BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,8BF,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,9,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,10,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,10BF,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,11,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,11BF,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,12BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
