county,office,district,party,precinct,candidate,votes
Sanpete,President,,Democrat,AXTSSD,JULIAN CASTRO,0
Sanpete,President,,Democrat,AXTSSD,ANDREW YAN,0
Sanpete,President,,Democrat,AXTSSD,CORY BOOKER,0
Sanpete,President,,Democrat,AXTSSD,PETE BUTTIGIEG,0
Sanpete,President,,Democrat,AXTSSD,NATHAN BLOXHAM,0
Sanpete,President,,Democrat,AXTSSD,MICHAEL R. BLOOMBERG,3
Sanpete,President,,Democrat,AXTSSD,Withdrawn,0
Sanpete,President,,Democrat,AXTSSD,JOSEPH R. BIDEN,1
Sanpete,President,,Democrat,AXTSSD,BERNIE SANDERS,0
Sanpete,President,,Democrat,AXTSSD,TOM STEYER,0
Sanpete,President,,Democrat,AXTSSD,ELIZABETH WARREN,0
Sanpete,President,,Democrat,AXTSSD,MARIANNE WILLIAMSON,0
Sanpete,President,,Democrat,AXTSSD,TULSI GABBARD,0
Sanpete,President,,Democrat,AXTSSD,AMY KLOBUCHAR,0
Sanpete,President,,Democrat,AXTSSD,DEVAL PATRICK,0
Sanpete,President,,Democrat,AXTSSD,ROQUE DE LA FUENTE,0
Sanpete,President,,Democrat,AXTU,JULIAN CASTRO,0
Sanpete,President,,Democrat,AXTU,ANDREW YAN,0
Sanpete,President,,Democrat,AXTU,CORY BOOKER,0
Sanpete,President,,Democrat,AXTU,PETE BUTTIGIEG,0
Sanpete,President,,Democrat,AXTU,NATHAN BLOXHAM,0
Sanpete,President,,Democrat,AXTU,MICHAEL R. BLOOMBERG,0
Sanpete,President,,Democrat,AXTU,Withdrawn,0
Sanpete,President,,Democrat,AXTU,JOSEPH R. BIDEN,0
Sanpete,President,,Democrat,AXTU,BERNIE SANDERS,2
Sanpete,President,,Democrat,AXTU,TOM STEYER,0
Sanpete,President,,Democrat,AXTU,ELIZABETH WARREN,0
Sanpete,President,,Democrat,AXTU,MARIANNE WILLIAMSON,0
Sanpete,President,,Democrat,AXTU,TULSI GABBARD,0
Sanpete,President,,Democrat,AXTU,AMY KLOBUCHAR,0
Sanpete,President,,Democrat,AXTU,DEVAL PATRICK,0
Sanpete,President,,Democrat,AXTU,ROQUE DE LA FUENTE,0
Sanpete,President,,Democrat,CENM,JULIAN CASTRO,0
Sanpete,President,,Democrat,CENM,ANDREW YAN,0
Sanpete,President,,Democrat,CENM,CORY BOOKER,0
Sanpete,President,,Democrat,CENM,PETE BUTTIGIEG,2
Sanpete,President,,Democrat,CENM,NATHAN BLOXHAM,0
Sanpete,President,,Democrat,CENM,MICHAEL R. BLOOMBERG,1
Sanpete,President,,Democrat,CENM,Withdrawn,1
Sanpete,President,,Democrat,CENM,JOSEPH R. BIDEN,4
Sanpete,President,,Democrat,CENM,BERNIE SANDERS,6
Sanpete,President,,Democrat,CENM,TOM STEYER,0
Sanpete,President,,Democrat,CENM,ELIZABETH WARREN,1
Sanpete,President,,Democrat,CENM,MARIANNE WILLIAMSON,0
Sanpete,President,,Democrat,CENM,TULSI GABBARD,0
Sanpete,President,,Democrat,CENM,AMY KLOBUCHAR,0
Sanpete,President,,Democrat,CENM,DEVAL PATRICK,0
Sanpete,President,,Democrat,CENM,ROQUE DE LA FUENTE,0
Sanpete,President,,Democrat,EPH1M,JULIAN CASTRO,0
Sanpete,President,,Democrat,EPH1M,ANDREW YAN,0
Sanpete,President,,Democrat,EPH1M,CORY BOOKER,0
Sanpete,President,,Democrat,EPH1M,PETE BUTTIGIEG,5
Sanpete,President,,Democrat,EPH1M,NATHAN BLOXHAM,0
Sanpete,President,,Democrat,EPH1M,MICHAEL R. BLOOMBERG,7
Sanpete,President,,Democrat,EPH1M,Withdrawn,0
Sanpete,President,,Democrat,EPH1M,JOSEPH R. BIDEN,5
Sanpete,President,,Democrat,EPH1M,BERNIE SANDERS,21
Sanpete,President,,Democrat,EPH1M,TOM STEYER,0
Sanpete,President,,Democrat,EPH1M,ELIZABETH WARREN,5
Sanpete,President,,Democrat,EPH1M,MARIANNE WILLIAMSON,0
Sanpete,President,,Democrat,EPH1M,TULSI GABBARD,0
Sanpete,President,,Democrat,EPH1M,AMY KLOBUCHAR,3
Sanpete,President,,Democrat,EPH1M,DEVAL PATRICK,0
