county,precinct,office,district,party,candidate,votes
Sevier,Annabella,President,,Democrat,JULIAN CASTRO,0
Sevier,Aurora,President,,Democrat,JULIAN CASTRO,0
Sevier,Central Valley,President,,Democrat,JULIAN CASTRO,0
Sevier,Elsinore,President,,Democrat,JULIAN CASTRO,0
Sevier,Glenwood,President,,Democrat,JULIAN CASTRO,0
Sevier,Joseph,President,,Democrat,JULIAN CASTRO,0
Sevier,Monroe,President,,Democrat,JULIAN CASTRO,0
Sevier,Redmond,President,,Democrat,JULIAN CASTRO,0
Sevier,Richfield,President,,Democrat,JULIAN CASTRO,0
Sevier,Salina,President,,Democrat,JULIAN CASTRO,0
Sevier,Sigurd,President,,Democrat,JULIAN CASTRO,0
Sevier,Koosharem,President,,Democrat,JULIAN CASTRO,0
Sevier,Venice,President,,Democrat,JULIAN CASTRO,0
Sevier,Annabella,President,,Democrat,ANDREW YANG,0
Sevier,Aurora,President,,Democrat,ANDREW YANG,0
Sevier,Central Valley,President,,Democrat,ANDREW YANG,0
Sevier,Elsinore,President,,Democrat,ANDREW YANG,0
Sevier,Glenwood,President,,Democrat,ANDREW YANG,0
Sevier,Joseph,President,,Democrat,ANDREW YANG,0
Sevier,Monroe,President,,Democrat,ANDREW YANG,0
Sevier,Redmond,President,,Democrat,ANDREW YANG,0
Sevier,Richfield,President,,Democrat,ANDREW YANG,2
Sevier,Salina,President,,Democrat,ANDREW YANG,0
Sevier,Sigurd,President,,Democrat,ANDREW YANG,0
Sevier,Koosharem,President,,Democrat,ANDREW YANG,0
Sevier,Venice,President,,Democrat,ANDREW YANG,0
Sevier,Annabella,President,,Democrat,CORY BOOKER,0
Sevier,Aurora,President,,Democrat,CORY BOOKER,0
Sevier,Central Valley,President,,Democrat,CORY BOOKER,0
Sevier,Elsinore,President,,Democrat,CORY BOOKER,0
Sevier,Glenwood,President,,Democrat,CORY BOOKER,0
Sevier,Joseph,President,,Democrat,CORY BOOKER,0
Sevier,Monroe,President,,Democrat,CORY BOOKER,0
Sevier,Redmond,President,,Democrat,CORY BOOKER,0
Sevier,Richfield,President,,Democrat,CORY BOOKER,1
Sevier,Salina,President,,Democrat,CORY BOOKER,0
Sevier,Sigurd,President,,Democrat,CORY BOOKER,0
Sevier,Koosharem,President,,Democrat,CORY BOOKER,0
Sevier,Venice,President,,Democrat,CORY BOOKER,0
Sevier,Annabella,President,,Democrat,PETE BUTTIGIEG,3
Sevier,Aurora,President,,Democrat,PETE BUTTIGIEG,0
Sevier,Central Valley,President,,Democrat,PETE BUTTIGIEG,1
Sevier,Elsinore,President,,Democrat,PETE BUTTIGIEG,1
Sevier,Glenwood,President,,Democrat,PETE BUTTIGIEG,2
Sevier,Joseph,President,,Democrat,PETE BUTTIGIEG,3
Sevier,Monroe,President,,Democrat,PETE BUTTIGIEG,11
Sevier,Redmond,President,,Democrat,PETE BUTTIGIEG,0
Sevier,Richfield,President,,Democrat,PETE BUTTIGIEG,6
Sevier,Salina,President,,Democrat,PETE BUTTIGIEG,2
Sevier,Sigurd,President,,Democrat,PETE BUTTIGIEG,2
Sevier,Koosharem,President,,Democrat,PETE BUTTIGIEG,0
Sevier,Venice,President,,Democrat,PETE BUTTIGIEG,1
Sevier,Annabella,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Aurora,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Central Valley,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Elsinore,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Glenwood,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Joseph,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Monroe,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Redmond,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Richfield,President,,Democrat,NATHAN BLOXHAM,1
Sevier,Salina,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Sigurd,President,,Democrat,NATHAN BLOXHAM,0
Sevier,Koosharem,President,,Democrat,NATHAN BLOXHAM,0
