county,precinct,office,district,party,candidate,votes
Summit,Bitner,President,,Democrat,JULIÁN CASTRO,1
Summit,Bitner,President,,Democrat,ANDREW YANG,0
Summit,Bitner,President,,Democrat,CORY BOOKER,0
Summit,Bitner,President,,Democrat,PETE BUTTIGIEG,29
Summit,Bitner,President,,Democrat,NATHAN BLOXHAM,0
Summit,Bitner,President,,Democrat,MICHAEL R. BLOOMBERG,61
Summit,Bitner,President,,Democrat,Withdrawn,0
Summit,Bitner,President,,Democrat,JOSEPH R. BIDEN,73
Summit,Bitner,President,,Democrat,BERNIE SANDERS,57
Summit,Bitner,President,,Democrat,TOM STEYER,0
Summit,Bitner,President,,Democrat,ELIZABETH WARREN,38
Summit,Bitner,President,,Democrat,MARIANNE WILLIAMSON,0
Summit,Bitner,President,,Democrat,TULSI GABBARD,0
Summit,Bitner,President,,Democrat,AMY KLOBUCHAR,11
Summit,Bitner,President,,Republican,DEVAL PATRICK,0
Summit,Bitner,President,,Republican,ROQUE DE LA FUENTE,0
Summit,Bitner,President,,Republican,ROBERT ARDINI,1
Summit,Bitner,President,,Republican,MATTHEW JOHN MATERN,0
Summit,Bitner,President,,Republican,BOB ELY,0
Summit,Bitner,President,,Republican,JOE WALSH,0
Summit,Bitner,President,,Republican,BILL WELD,9
Summit,Bitner,President,,Republican,Withdrawn,1
Summit,Bitner,President,,Republican,DONALD J. TRUMP,67
Summit,Chalk Creek,President,,Democrat,JULIÁN CASTRO,0
Summit,Chalk Creek,President,,Democrat,ANDREW YANG,0
Summit,Chalk Creek,President,,Democrat,CORY BOOKER,0
Summit,Chalk Creek,President,,Democrat,PETE BUTTIGIEG,0
Summit,Chalk Creek,President,,Democrat,NATHAN BLOXHAM,0
Summit,Chalk Creek,President,,Democrat,MICHAEL R. BLOOMBERG,3
Summit,Chalk Creek,President,,Democrat,Withdrawn,0
Summit,Chalk Creek,President,,Democrat,JOSEPH R. BIDEN,3
Summit,Chalk Creek,President,,Democrat,BERNIE SANDERS,3
Summit,Chalk Creek,President,,Democrat,TOM STEYER,0
Summit,Chalk Creek,President,,Democrat,ELIZABETH WARREN,1
Summit,Chalk Creek,President,,Democrat,MARIANNE WILLIAMSON,0
Summit,Chalk Creek,President,,Democrat,TULSI GABBARD,0
Summit,Chalk Creek,President,,Democrat,AMY KLOBUCHAR,0
Summit,Chalk Creek,President,,Republican,DEVAL PATRICK,0
Summit,Chalk Creek,President,,Republican,ROQUE DE LA FUENTE,0
Summit,Chalk Creek,President,,Republican,ROBERT ARDINI,0
Summit,Chalk Creek,President,,Republican,MATTHEW JOHN MATERN,0
Summit,Chalk Creek,President,,Republican,BOB ELY,0
Summit,Chalk Creek,President,,Republican,JOE WALSH,2
Summit,Chalk Creek,President,,Republican,BILL WELD,3
Summit,Chalk Creek,President,,Republican,Withdrawn,0
Summit,Chalk Creek,President,,Republican,DONALD J. TRUMP,102
Summit,Coalville,President,,Democrat,JULIÁN CASTRO,0
Summit,Coalville,President,,Democrat,ANDREW YANG,0
Summit,Coalville,President,,Democrat,CORY BOOKER,1
Summit,Coalville,President,,Democrat,PETE BUTTIGIEG,10
Summit,Coalville,President,,Democrat,NATHAN BLOXHAM,0
Summit,Coalville,President,,Democrat,MICHAEL R. BLOOMBERG,12
Summit,Coalville,President,,Democrat,Withdrawn,0
