county,precinct,office,district,party,candidate,votes
Utah,AF01,President,,Democrat,JULIÁN CASTRO,0
Utah,AF01,President,,Democrat,ANDREW YANG,0
Utah,AF01,President,,Democrat,CORY BOOKER,0
Utah,AF01,President,,Democrat,PETE BUTTIGIEG,12
Utah,AF01,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF01,President,,Democrat,MICHAEL R. BLOOMBERG,29
Utah,AF01,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF01,President,,Democrat,JOSEPH R. BIDEN,38
Utah,AF01,President,,Democrat,BERNIE SANDERS,94
Utah,AF01,President,,Democrat,TOM STEYER,3
Utah,AF01,President,,Democrat,ELIZABETH WARREN,31
Utah,AF01,President,,Democrat,MARIANNE WILLIAMSON,1
Utah,AF01,President,,Democrat,TULSI GABBARD,7
Utah,AF01,President,,Democrat,AMY KLOBUCHAR,6
Utah,AF01,President,,Democrat,DEVAL PATRICK,0
Utah,AF01,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF01,President,,Republican,ROBERT ARDINI,5
Utah,AF01,President,,Republican,MATTHEW JOHN MATERN,12
Utah,AF01,President,,Republican,BOB ELY,1
Utah,AF01,President,,Republican,JOE WALSH,11
Utah,AF01,President,,Republican,BILL WELD,41
Utah,AF01,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,1
Utah,AF01,President,,Republican,DONALD J. TRUMP,491
Utah,AF01:UN,President,,Democrat,JULIÁN CASTRO,0
Utah,AF01:UN,President,,Democrat,ANDREW YANG,0
Utah,AF01:UN,President,,Democrat,CORY BOOKER,0
Utah,AF01:UN,President,,Democrat,PETE BUTTIGIEG,0
Utah,AF01:UN,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF01:UN,President,,Democrat,MICHAEL R. BLOOMBERG,0
Utah,AF01:UN,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF01:UN,President,,Democrat,JOSEPH R. BIDEN,4
Utah,AF01:UN,President,,Democrat,BERNIE SANDERS,3
Utah,AF01:UN,President,,Democrat,TOM STEYER,0
Utah,AF01:UN,President,,Democrat,ELIZABETH WARREN,1
Utah,AF01:UN,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF01:UN,President,,Democrat,TULSI GABBARD,0
Utah,AF01:UN,President,,Democrat,AMY KLOBUCHAR,0
Utah,AF01:UN,President,,Democrat,DEVAL PATRICK,0
Utah,AF01:UN,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF01:UN,President,,Republican,ROBERT ARDINI,0
Utah,AF01:UN,President,,Republican,MATTHEW JOHN MATERN,0
Utah,AF01:UN,President,,Republican,BOB ELY,0
Utah,AF01:UN,President,,Republican,JOE WALSH,0
Utah,AF01:UN,President,,Republican,BILL WELD,0
Utah,AF01:UN,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,0
Utah,AF01:UN,President,,Republican,DONALD J. TRUMP,10
Utah,AF01S,President,,Democrat,JULIÁN CASTRO,0
Utah,AF01S,President,,Democrat,ANDREW YANG,0
Utah,AF01S,President,,Democrat,CORY BOOKER,0
Utah,AF01S,President,,Democrat,PETE BUTTIGIEG,0
Utah,AF01S,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF01S,President,,Democrat,MICHAEL R. BLOOMBERG,0
Utah,AF01S,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF01S,President,,Democrat,JOSEPH R. BIDEN,0
Utah,AF01S,President,,Democrat,BERNIE SANDERS,0
Utah,AF01S,President,,Democrat,TOM STEYER,0
Utah,AF01S,President,,Democrat,ELIZABETH WARREN,0
Utah,AF01S,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF01S,President,,Democrat,TULSI GABBARD,0
Utah,AF01S,President,,Democrat,AMY KLOBUCHAR,0
Utah,AF01S,President,,Democrat,DEVAL PATRICK,0
Utah,AF01S,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF01S,President,,Republican,ROBERT ARDINI,0
Utah,AF01S,President,,Republican,MATTHEW JOHN MATERN,0
Utah,AF01S,President,,Republican,BOB ELY,0
Utah,AF01S,President,,Republican,JOE WALSH,0
Utah,AF01S,President,,Republican,BILL WELD,0
Utah,AF01S,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,0
Utah,AF01S,President,,Republican,DONALD J. TRUMP,0
Utah,AF02,President,,Democrat,JULIÁN CASTRO,0
Utah,AF02,President,,Democrat,ANDREW YANG,3
Utah,AF02,President,,Democrat,CORY BOOKER,0
Utah,AF02,President,,Democrat,PETE BUTTIGIEG,2
Utah,AF02,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF02,President,,Democrat,MICHAEL R. BLOOMBERG,11
Utah,AF02,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF02,President,,Democrat,JOSEPH R. BIDEN,10
Utah,AF02,President,,Democrat,BERNIE SANDERS,34
Utah,AF02,President,,Democrat,TOM STEYER,3
Utah,AF02,President,,Democrat,ELIZABETH WARREN,15
Utah,AF02,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF02,President,,Democrat,TULSI GABBARD,0
Utah,AF02,President,,Democrat,AMY KLOBUCHAR,3
Utah,AF02,President,,Democrat,DEVAL PATRICK,0
Utah,AF02,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF02,President,,Republican,ROBERT ARDINI,1
Utah,AF02,President,,Republican,MATTHEW JOHN MATERN,8
Utah,AF02,President,,Republican,BOB ELY,1
Utah,AF02,President,,Republican,JOE WALSH,6
Utah,AF02,President,,Republican,BILL WELD,14
Utah,AF02,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,1
Utah,AF02,President,,Republican,DONALD J. TRUMP,164
Utah,AF03,President,,Democrat,JULIÁN CASTRO,0
Utah,AF03,President,,Democrat,ANDREW YANG,0
Utah,AF03,President,,Democrat,CORY BOOKER,0
Utah,AF03,President,,Democrat,PETE BUTTIGIEG,8
Utah,AF03,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF03,President,,Democrat,MICHAEL R. BLOOMBERG,11
Utah,AF03,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF03,President,,Democrat,JOSEPH R. BIDEN,19
Utah,AF03,President,,Democrat,BERNIE SANDERS,15
Utah,AF03,President,,Democrat,TOM STEYER,1
Utah,AF03,President,,Democrat,ELIZABETH WARREN,7
Utah,AF03,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF03,President,,Democrat,TULSI GABBARD,0
Utah,AF03,President,,Democrat,AMY KLOBUCHAR,4
Utah,AF03,President,,Democrat,DEVAL PATRICK,0
Utah,AF03,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF03,President,,Republican,ROBERT ARDINI,3
Utah,AF03,President,,Republican,MATTHEW JOHN MATERN,9
Utah,AF03,President,,Republican,BOB ELY,2
Utah,AF03,President,,Republican,JOE WALSH,6
Utah,AF03,President,,Republican,BILL WELD,39
Utah,AF03,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,2
Utah,AF03,President,,Republican,DONALD J. TRUMP,253
Utah,AF03:UN,President,,Democrat,JULIÁN CASTRO,0
Utah,AF03:UN,President,,Democrat,ANDREW YANG,0
Utah,AF03:UN,President,,Democrat,CORY BOOKER,0
Utah,AF03:UN,President,,Democrat,PETE BUTTIGIEG,0
Utah,AF03:UN,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF03:UN,President,,Democrat,MICHAEL R. BLOOMBERG,0
Utah,AF03:UN,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF03:UN,President,,Democrat,JOSEPH R. BIDEN,0
Utah,AF03:UN,President,,Democrat,BERNIE SANDERS,0
Utah,AF03:UN,President,,Democrat,TOM STEYER,0
Utah,AF03:UN,President,,Democrat,ELIZABETH WARREN,0
Utah,AF03:UN,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF03:UN,President,,Democrat,TULSI GABBARD,0
Utah,AF03:UN,President,,Democrat,AMY KLOBUCHAR,0
Utah,AF03:UN,President,,Democrat,DEVAL PATRICK,0
Utah,AF03:UN,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF03:UN,President,,Republican,ROBERT ARDINI,0
Utah,AF03:UN,President,,Republican,MATTHEW JOHN MATERN,0
Utah,AF03:UN,President,,Republican,BOB ELY,0
Utah,AF03:UN,President,,Republican,JOE WALSH,0
Utah,AF03:UN,President,,Republican,BILL WELD,0
Utah,AF03:UN,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,0
Utah,AF03:UN,President,,Republican,DONALD J. TRUMP,0
Utah,AF04,President,,Democrat,JULIÁN CASTRO,0
Utah,AF04,President,,Democrat,ANDREW YANG,0
Utah,AF04,President,,Democrat,CORY BOOKER,0
Utah,AF04,President,,Democrat,PETE BUTTIGIEG,4
Utah,AF04,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF04,President,,Democrat,MICHAEL R. BLOOMBERG,7
Utah,AF04,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF04,President,,Democrat,JOSEPH R. BIDEN,19
Utah,AF04,President,,Democrat,BERNIE SANDERS,43
Utah,AF04,President,,Democrat,TOM STEYER,0
Utah,AF04,President,,Democrat,ELIZABETH WARREN,16
Utah,AF04,President,,Democrat,MARIANNE WILLIAMSON,1
Utah,AF04,President,,Democrat,TULSI GABBARD,0
Utah,AF04,President,,Democrat,AMY KLOBUCHAR,1
Utah,AF04,President,,Democrat,DEVAL PATRICK,0
Utah,AF04,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF04,President,,Republican,ROBERT ARDINI,7
Utah,AF04,President,,Republican,MATTHEW JOHN MATERN,5
Utah,AF04,President,,Republican,BOB ELY,1
Utah,AF04,President,,Republican,JOE WALSH,4
Utah,AF04,President,,Republican,BILL WELD,23
Utah,AF04,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,1
Utah,AF04,President,,Republican,DONALD J. TRUMP,208
Utah,AF05,President,,Democrat,JULIÁN CASTRO,1
Utah,AF05,President,,Democrat,ANDREW YANG,0
Utah,AF05,President,,Democrat,CORY BOOKER,0
Utah,AF05,President,,Democrat,PETE BUTTIGIEG,8
Utah,AF05,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF05,President,,Democrat,MICHAEL R. BLOOMBERG,13
Utah,AF05,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF05,President,,Democrat,JOSEPH R. BIDEN,10
Utah,AF05,President,,Democrat,BERNIE SANDERS,26
Utah,AF05,President,,Democrat,TOM STEYER,0
Utah,AF05,President,,Democrat,ELIZABETH WARREN,15
Utah,AF05,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF05,President,,Democrat,TULSI GABBARD,1
Utah,AF05,President,,Democrat,AMY KLOBUCHAR,4
