county,precinct,office,district,party,candidate,votes
Wasatch,10,President,,Democrat,BERNIE SANDERS,35
Wasatch,10,President,,Democrat,MICHAEL R. BLOOMBERG,15
Wasatch,10,President,,Democrat,ELIZABETH WARREN,11
Wasatch,10,President,,Democrat,JOSEPH R. BIDEN,10
Wasatch,10,President,,Democrat,W PETE BUTTIGIEG,7
Wasatch,10,President,,Democrat,W AMY KLOBUCHAR,2
Wasatch,10,President,,Democrat,ANDREW YANG,1
Wasatch,10,President,,Democrat,TULSI GABBARD,1
Wasatch,10,President,,Democrat,JULIÁN CASTRO,0
Wasatch,10,President,,Democrat,CORY BOOKER,0
Wasatch,10,President,,Democrat,NATHAN BLOXHAM,0
Wasatch,10,President,,Democrat,W MICHAEL BENNIT,0
Wasatch,10,President,,Democrat,TOM STEYER,0
Wasatch,10,President,,Democrat,MARIANNE WILLIAMSON,0
Wasatch,10,President,,Democrat,DEVAL PATRICK,0
Wasatch,10,President,,Democrat,ROQUE DE LA FUENTE,0
Wasatch,10,President,,Republican,DONALD J. TRUMP,50
Wasatch,10,President,,Republican,MATTHEW JOHN MATERN,2
Wasatch,10,President,,Republican,BILL WELD,2
Wasatch,10,President,,Republican,ROBERT ARDINI,1
Wasatch,10,President,,Republican,BOB ELY,0
Wasatch,10,President,,Republican,JOE WALSH,0
Wasatch,10,President,,Republican,W Roque Rocky De La Fuente,0
Wasatch,11,President,,Democrat,BERNIE SANDERS,24
Wasatch,11,President,,Democrat,MICHAEL R. BLOOMBERG,14
Wasatch,11,President,,Democrat,JOSEPH R. BIDEN,14
Wasatch,11,President,,Democrat,ELIZABETH WARREN,12
Wasatch,11,President,,Democrat,W PETE BUTTIGIEG,5
Wasatch,11,President,,Democrat,TULSI GABBARD,2
Wasatch,11,President,,Democrat,W AMY KLOBUCHAR,2
Wasatch,11,President,,Democrat,TOM STEYER,1
Wasatch,11,President,,Democrat,ROQUE DE LA FUENTE,1
Wasatch,11,President,,Democrat,JULIÁN CASTRO,0
Wasatch,11,President,,Democrat,ANDREW YANG,0
Wasatch,11,President,,Democrat,CORY BOOKER,0
Wasatch,11,President,,Democrat,NATHAN BLOXHAM,0
Wasatch,11,President,,Democrat,W MICHAEL BENNIT,0
Wasatch,11,President,,Democrat,MARIANNE WILLIAMSON,0
Wasatch,11,President,,Democrat,DEVAL PATRICK,0
Wasatch,11,President,,Democrat,BERNIE SANDERS,24
Wasatch,11,President,,Democrat,MICHAEL R. BLOOMBERG,14
Wasatch,11,President,,Democrat,JOSEPH R. BIDEN,14
Wasatch,11,President,,Democrat,ELIZABETH WARREN,12
Wasatch,11,President,,Democrat,W PETE BUTTIGIEG,5
Wasatch,11,President,,Democrat,TULSI GABBARD,2
Wasatch,11,President,,Democrat,W AMY KLOBUCHAR,2
Wasatch,11,President,,Democrat,TOM STEYER,1
Wasatch,11,President,,Democrat,ROQUE DE LA FUENTE,1
Wasatch,11,President,,Democrat,JULIÁN CASTRO,0
Wasatch,11,President,,Democrat,ANDREW YANG,0
Wasatch,11,President,,Democrat,CORY BOOKER,0
Wasatch,11,President,,Democrat,NATHAN BLOXHAM,0
Wasatch,11,President,,Democrat,W MICHAEL BENNIT,0
Wasatch,11,President,,Democrat,MARIANNE WILLIAMSON,0
Wasatch,11,President,,Republican,DEVAL PATRICK,0
Wasatch,11,President,,Republican,DONALD J. TRUMP,63
Wasatch,11,President,,Republican,JOE WALSH,4
Wasatch,11,President,,Republican,MATTHEW JOHN MATERN,1
Wasatch,11,President,,Republican,ROBERT ARDINI,0
Wasatch,11,President,,Republican,BOB ELY,0
Wasatch,11,President,,Republican,BILL WELD,0
Wasatch,11,President,,Republican,W Roque Rocky De La Fuente,0
Wasatch,12,President,,Democrat,BERNIE SANDERS,20
Wasatch,12,President,,Democrat,JOSEPH R. BIDEN,9
Wasatch,12,President,,Democrat,W PETE BUTTIGIEG,7
Wasatch,12,President,,Democrat,ELIZABETH WARREN,5
Wasatch,12,President,,Democrat,MICHAEL R. BLOOMBERG,3
Wasatch,12,President,,Democrat,W AMY KLOBUCHAR,2
Wasatch,12,President,,Democrat,JULIÁN CASTRO,0
Wasatch,12,President,,Democrat,ANDREW YANG,0
Wasatch,12,President,,Democrat,CORY BOOKER,0
Wasatch,12,President,,Democrat,NATHAN BLOXHAM,0
Wasatch,12,President,,Democrat,W MICHAEL BENNIT,0
Wasatch,12,President,,Democrat,TOM STEYER,0
Wasatch,12,President,,Democrat,MARIANNE WILLIAMSON,0
Wasatch,12,President,,Democrat,TULSI GABBARD,0
Wasatch,12,President,,Republican,DEVAL PATRICK,0
Wasatch,12,President,,Democrat,ROQUE DE LA FUENTE,0
Wasatch,12,President,,Democrat,BERNIE SANDERS,20
Wasatch,12,President,,Democrat,JOSEPH R. BIDEN,9
Wasatch,12,President,,Democrat,W PETE BUTTIGIEG,7
Wasatch,12,President,,Democrat,ELIZABETH WARREN,5
Wasatch,12,President,,Democrat,MICHAEL R. BLOOMBERG,3
Wasatch,12,President,,Democrat,W AMY KLOBUCHAR,2
Wasatch,12,President,,Democrat,JULIÁN CASTRO,0
Wasatch,12,President,,Democrat,ANDREW YANG,0
Wasatch,12,President,,Democrat,CORY BOOKER,0
Wasatch,12,President,,Democrat,NATHAN BLOXHAM,0
Wasatch,12,President,,Democrat,W MICHAEL BENNIT,0
Wasatch,12,President,,Democrat,TOM STEYER,0
Wasatch,12,President,,Democrat,MARIANNE WILLIAMSON,0
Wasatch,12,President,,Democrat,TULSI GABBARD,0
Wasatch,12,President,,Republican,DEVAL PATRICK,0
Wasatch,12,President,,Democrat,ROQUE DE LA FUENTE,0
Wasatch,12,President,,Republican,DONALD J. TRUMP,58
Wasatch,12,President,,Republican,JOE WALSH,4
Wasatch,12,President,,Republican,ROBERT ARDINI,1
Wasatch,12,President,,Republican,BILL WELD,1
Wasatch,12,President,,Republican,MATTHEW JOHN MATERN,0
Wasatch,12,President,,Republican,BOB ELY,0
Wasatch,12,President,,Republican,W Roque Rocky De La Fuente,0
Wasatch,13,President,,Democrat,BERNIE SANDERS,24
Wasatch,13,President,,Democrat,ELIZABETH WARREN,8
Wasatch,13,President,,Democrat,JOSEPH R. BIDEN,6
Wasatch,13,President,,Democrat,MICHAEL R. BLOOMBERG,5
Wasatch,13,President,,Democrat,W PETE BUTTIGIEG,4
Wasatch,13,President,,Democrat,W AMY KLOBUCHAR,2
Wasatch,13,President,,Democrat,CORY BOOKER,1
Wasatch,13,President,,Democrat,TOM STEYER,1
Wasatch,13,President,,Democrat,TULSI GABBARD,1
Wasatch,13,President,,Democrat,ROQUE DE LA FUENTE,1
Wasatch,13,President,,Democrat,JULIÁN CASTRO,0
Wasatch,13,President,,Democrat,ANDREW YANG,0
Wasatch,13,President,,Democrat,NATHAN BLOXHAM,0
Wasatch,13,President,,Democrat,W MICHAEL BENNIT,0
Wasatch,13,President,,Democrat,MARIANNE WILLIAMSON,0
Wasatch,13,President,,Democrat,DEVAL PATRICK,0
Wasatch,13,President,,Democrat,BERNIE SANDERS,24
Wasatch,13,President,,Democrat,ELIZABETH WARREN,8
Wasatch,13,President,,Democrat,JOSEPH R. BIDEN,6
Wasatch,13,President,,Democrat,MICHAEL R. BLOOMBERG,5
Wasatch,13,President,,Democrat,W PETE BUTTIGIEG,4
Wasatch,13,President,,Democrat,W AMY KLOBUCHAR,2
Wasatch,13,President,,Democrat,CORY BOOKER,1
Wasatch,13,President,,Democrat,TOM STEYER,1
Wasatch,13,President,,Democrat,TULSI GABBARD,1
Wasatch,13,President,,Democrat,ROQUE DE LA FUENTE,1
Wasatch,13,President,,Democrat,JULIÁN CASTRO,0
Wasatch,13,President,,Democrat,ANDREW YANG,0
Wasatch,13,President,,Democrat,NATHAN BLOXHAM,0
Wasatch,13,President,,Democrat,W MICHAEL BENNIT,0
Wasatch,13,President,,Democrat,MARIANNE WILLIAMSON,0
Wasatch,13,President,,Republican,DEVAL PATRICK,0
Wasatch,13,President,,Republican,DONALD J. TRUMP,109
Wasatch,13,President,,Republican,JOE WALSH,8
Wasatch,13,President,,Republican,BILL WELD,5
Wasatch,13,President,,Republican,ROBERT ARDINI,2
Wasatch,13,President,,Republican,W Roque Rocky De La Fuente,1
Wasatch,13,President,,Republican,MATTHEW JOHN MATERN,0
Wasatch,13,President,,Republican,BOB ELY,0
Wasatch,14,President,,Democrat,BERNIE SANDERS,45
Wasatch,14,President,,Democrat,ELIZABETH WARREN,26
Wasatch,14,President,,Democrat,JOSEPH R. BIDEN,25
Wasatch,14,President,,Democrat,MICHAEL R. BLOOMBERG,18
Wasatch,14,President,,Democrat,W PETE BUTTIGIEG,9
Wasatch,14,President,,Democrat,ANDREW YANG,4
Wasatch,14,President,,Democrat,CORY BOOKER,2
Wasatch,14,President,,Democrat,W AMY KLOBUCHAR,2
Wasatch,14,President,,Democrat,JULIÁN CASTRO,0
Wasatch,14,President,,Democrat,NATHAN BLOXHAM,0
Wasatch,14,President,,Democrat,W MICHAEL BENNIT,0
Wasatch,14,President,,Democrat,TOM STEYER,0
Wasatch,14,President,,Democrat,MARIANNE WILLIAMSON,0
Wasatch,14,President,,Democrat,TULSI GABBARD,0
Wasatch,14,President,,Republican,DEVAL PATRICK,0
Wasatch,14,President,,Democrat,ROQUE DE LA FUENTE,0
Wasatch,14,President,,Democrat,BERNIE SANDERS,45
Wasatch,14,President,,Democrat,ELIZABETH WARREN,26
Wasatch,14,President,,Democrat,JOSEPH R. BIDEN,25
Wasatch,14,President,,Democrat,MICHAEL R. BLOOMBERG,18
Wasatch,14,President,,Democrat,W PETE BUTTIGIEG,9
Wasatch,14,President,,Democrat,ANDREW YANG,4
Wasatch,14,President,,Democrat,CORY BOOKER,2
Wasatch,14,President,,Democrat,W AMY KLOBUCHAR,2
Wasatch,14,President,,Democrat,JULIÁN CASTRO,0
Wasatch,14,President,,Democrat,NATHAN BLOXHAM,0
Wasatch,14,President,,Democrat,W MICHAEL BENNIT,0
Wasatch,14,President,,Democrat,TOM STEYER,0
Wasatch,14,President,,Democrat,MARIANNE WILLIAMSON,0
Wasatch,14,President,,Democrat,TULSI GABBARD,0
Wasatch,14,President,,Republican,DEVAL PATRICK,0
Wasatch,14,President,,Democrat,ROQUE DE LA FUENTE,0
Wasatch,14,President,,Republican,DONALD J. TRUMP,242
Wasatch,14,President,,Republican,BILL WELD,9
Wasatch,14,President,,Republican,JOE WALSH,6
Wasatch,14,President,,Republican,ROBERT ARDINI,4
Wasatch,14,President,,Republican,W Roque Rocky De La Fuente,3
Wasatch,14,President,,Republican,MATTHEW JOHN MATERN,2
Wasatch,14,President,,Republican,BOB ELY,0
