county,precinct,office,district,party,candidate,votes
Washington,AV51,President,,Democrat,JULIAN CASTRO,0
Washington,AV51,President,,Democrat,ANDREW YANG,0
Washington,AV51,President,,Democrat,CORY BOOKER,0
Washington,AV51,President,,Democrat,PETE BUTTIGIEG,7
Washington,AV51,President,,Democrat,NATHAN BLOXHAM,0
Washington,AV51,President,,Democrat,MICHAEL R. BLOOMBERG,11
Washington,AV51,President,,Democrat,UNDERVOTE,0
Washington,AV51,President,,Democrat,JOSEPH R. BIDEN,10
Washington,AV51,President,,Democrat,BERNIE SANDERS,14
Washington,AV51,President,,Democrat,TOM STEYER,0
Washington,AV51,President,,Democrat,ELIZABETH WARREN,4
Washington,AV51,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,AV51,President,,Democrat,TULSI GABBARD,0
Washington,AV51,President,,Democrat,AMY KLOBUCHAR,4
Washington,COAND,President,,Democrat,JULIAN CASTRO,0
Washington,COAND,President,,Democrat,ANDREW YANG,0
Washington,COAND,President,,Democrat,CORY BOOKER,0
Washington,COAND,President,,Democrat,PETE BUTTIGIEG,0
Washington,COAND,President,,Democrat,NATHAN BLOXHAM,0
Washington,COAND,President,,Democrat,MICHAEL R. BLOOMBERG,0
Washington,COAND,President,,Democrat,UNDERVOTE,0
Washington,COAND,President,,Democrat,JOSEPH R. BIDEN,0
Washington,COAND,President,,Democrat,BERNIE SANDERS,0
Washington,COAND,President,,Democrat,TOM STEYER,0
Washington,COAND,President,,Democrat,ELIZABETH WARREN,0
Washington,COAND,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COAND,President,,Democrat,TULSI GABBARD,0
Washington,COAND,President,,Democrat,AMY KLOBUCHAR,0
Washington,COCDSR,President,,Democrat,JULIAN CASTRO,0
Washington,COCDSR,President,,Democrat,ANDREW YANG,0
Washington,COCDSR,President,,Democrat,CORY BOOKER,0
Washington,COCDSR,President,,Democrat,PETE BUTTIGIEG,1
Washington,COCDSR,President,,Democrat,NATHAN BLOXHAM,0
Washington,COCDSR,President,,Democrat,MICHAEL R. BLOOMBERG,6
Washington,COCDSR,President,,Democrat,UNDERVOTE,0
Washington,COCDSR,President,,Democrat,JOSEPH R. BIDEN,3
Washington,COCDSR,President,,Democrat,BERNIE SANDERS,3
Washington,COCDSR,President,,Democrat,TOM STEYER,0
Washington,COCDSR,President,,Democrat,ELIZABETH WARREN,0
Washington,COCDSR,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COCDSR,President,,Democrat,TULSI GABBARD,0
Washington,COCDSR,President,,Democrat,AMY KLOBUCHAR,2
Washington,COCNBR,President,,Democrat,JULIAN CASTRO,0
Washington,COCNBR,President,,Democrat,ANDREW YANG,0
Washington,COCNBR,President,,Democrat,CORY BOOKER,0
Washington,COCNBR,President,,Democrat,PETE BUTTIGIEG,1
Washington,COCNBR,President,,Democrat,NATHAN BLOXHAM,0
Washington,COCNBR,President,,Democrat,MICHAEL R. BLOOMBERG,1
Washington,COCNBR,President,,Democrat,UNDERVOTE,0
Washington,COCNBR,President,,Democrat,JOSEPH R. BIDEN,1
Washington,COCNBR,President,,Democrat,BERNIE SANDERS,5
Washington,COCNBR,President,,Democrat,TOM STEYER,0
Washington,COCNBR,President,,Democrat,ELIZABETH WARREN,4
Washington,COCNBR,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COCNBR,President,,Democrat,TULSI GABBARD,0
Washington,COCNBR,President,,Democrat,AMY KLOBUCHAR,1
Washington,CODAV,President,,Democrat,JULIAN CASTRO,0
Washington,CODAV,President,,Democrat,ANDREW YANG,0
Washington,CODAV,President,,Democrat,CORY BOOKER,0
Washington,CODAV,President,,Democrat,PETE BUTTIGIEG,13
Washington,CODAV,President,,Democrat,NATHAN BLOXHAM,0
Washington,CODAV,President,,Democrat,MICHAEL R. BLOOMBERG,16
Washington,CODAV,President,,Democrat,UNDERVOTE,0
Washington,CODAV,President,,Democrat,JOSEPH R. BIDEN,25
Washington,CODAV,President,,Democrat,BERNIE SANDERS,11
Washington,CODAV,President,,Democrat,TOM STEYER,2
Washington,CODAV,President,,Democrat,ELIZABETH WARREN,17
Washington,CODAV,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,CODAV,President,,Democrat,TULSI GABBARD,2
Washington,CODAV,President,,Democrat,AMY KLOBUCHAR,9
Washington,CODIV,President,,Democrat,JULIAN CASTRO,0
Washington,CODIV,President,,Democrat,ANDREW YANG,1
Washington,CODIV,President,,Democrat,CORY BOOKER,1
Washington,CODIV,President,,Democrat,PETE BUTTIGIEG,2
Washington,CODIV,President,,Democrat,NATHAN BLOXHAM,0
Washington,CODIV,President,,Democrat,MICHAEL R. BLOOMBERG,6
Washington,CODIV,President,,Democrat,UNDERVOTE,0
Washington,CODIV,President,,Democrat,JOSEPH R. BIDEN,11
Washington,CODIV,President,,Democrat,BERNIE SANDERS,9
Washington,CODIV,President,,Democrat,TOM STEYER,0
Washington,CODIV,President,,Democrat,ELIZABETH WARREN,3
Washington,CODIV,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,CODIV,President,,Democrat,TULSI GABBARD,0
Washington,CODIV,President,,Democrat,AMY KLOBUCHAR,0
Washington,CODXDR,President,,Democrat,JULIAN CASTRO,1
Washington,CODXDR,President,,Democrat,ANDREW YANG,0
Washington,CODXDR,President,,Democrat,CORY BOOKER,0
Washington,CODXDR,President,,Democrat,PETE BUTTIGIEG,4
Washington,CODXDR,President,,Democrat,NATHAN BLOXHAM,0
Washington,CODXDR,President,,Democrat,MICHAEL R. BLOOMBERG,8
Washington,CODXDR,President,,Democrat,UNDERVOTE,0
Washington,CODXDR,President,,Democrat,JOSEPH R. BIDEN,8
Washington,CODXDR,President,,Democrat,BERNIE SANDERS,5
Washington,CODXDR,President,,Democrat,TOM STEYER,1
Washington,CODXDR,President,,Democrat,ELIZABETH WARREN,1
Washington,CODXDR,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,CODXDR,President,,Democrat,TULSI GABBARD,0
Washington,CODXDR,President,,Democrat,AMY KLOBUCHAR,0
Washington,COGL,President,,Democrat,JULIAN CASTRO,0
Washington,COGL,President,,Democrat,ANDREW YANG,0
Washington,COGL,President,,Democrat,CORY BOOKER,0
Washington,COGL,President,,Democrat,PETE BUTTIGIEG,0
Washington,COGL,President,,Democrat,NATHAN BLOXHAM,0
Washington,COGL,President,,Democrat,MICHAEL R. BLOOMBERG,1
Washington,COGL,President,,Democrat,UNDERVOTE,0
Washington,COGL,President,,Democrat,JOSEPH R. BIDEN,1
Washington,COGL,President,,Democrat,BERNIE SANDERS,5
Washington,COGL,President,,Democrat,TOM STEYER,0
Washington,COGL,President,,Democrat,ELIZABETH WARREN,0
Washington,COGL,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COGL,President,,Democrat,TULSI GABBARD,0
Washington,COGL,President,,Democrat,AMY KLOBUCHAR,0
Washington,COGUBL,President,,Democrat,JULIAN CASTRO,0
Washington,COGUBL,President,,Democrat,ANDREW YANG,0
Washington,COGUBL,President,,Democrat,CORY BOOKER,0
Washington,COGUBL,President,,Democrat,PETE BUTTIGIEG,0
Washington,COGUBL,President,,Democrat,NATHAN BLOXHAM,0
Washington,COGUBL,President,,Democrat,MICHAEL R. BLOOMBERG,0
Washington,COGUBL,President,,Democrat,UNDERVOTE,0
Washington,COGUBL,President,,Democrat,JOSEPH R. BIDEN,0
Washington,COGUBL,President,,Democrat,BERNIE SANDERS,0
Washington,COGUBL,President,,Democrat,TOM STEYER,0
Washington,COGUBL,President,,Democrat,ELIZABETH WARREN,0
Washington,COGUBL,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COGUBL,President,,Democrat,TULSI GABBARD,0
Washington,COGUBL,President,,Democrat,AMY KLOBUCHAR,0
Washington,COHS74,President,,Democrat,JULIAN CASTRO,0
Washington,COHS74,President,,Democrat,ANDREW YANG,0
Washington,COHS74,President,,Democrat,CORY BOOKER,0
Washington,COHS74,President,,Democrat,PETE BUTTIGIEG,0
Washington,COHS74,President,,Democrat,NATHAN BLOXHAM,0
Washington,COHS74,President,,Democrat,MICHAEL R. BLOOMBERG,0
Washington,COHS74,President,,Democrat,UNDERVOTE,0
Washington,COHS74,President,,Democrat,JOSEPH R. BIDEN,0
Washington,COHS74,President,,Democrat,BERNIE SANDERS,0
Washington,COHS74,President,,Democrat,TOM STEYER,0
Washington,COHS74,President,,Democrat,ELIZABETH WARREN,0
Washington,COHS74,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COHS74,President,,Democrat,TULSI GABBARD,0
Washington,COHS74,President,,Democrat,AMY KLOBUCHAR,0
Washington,COHV28,President,,Democrat,JULIAN CASTRO,0
Washington,COHV28,President,,Democrat,ANDREW YANG,0
Washington,COHV28,President,,Democrat,CORY BOOKER,0
Washington,COHV28,President,,Democrat,PETE BUTTIGIEG,0
Washington,COHV28,President,,Democrat,NATHAN BLOXHAM,0
Washington,COHV28,President,,Democrat,MICHAEL R. BLOOMBERG,0
Washington,COHV28,President,,Democrat,UNDERVOTE,0
Washington,COHV28,President,,Democrat,JOSEPH R. BIDEN,0
Washington,COHV28,President,,Democrat,BERNIE SANDERS,1
Washington,COHV28,President,,Democrat,TOM STEYER,0
Washington,COHV28,President,,Democrat,ELIZABETH WARREN,0
Washington,COHV28,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COHV28,President,,Democrat,TULSI GABBARD,0
Washington,COHV28,President,,Democrat,AMY KLOBUCHAR,0
Washington,COHV29,President,,Democrat,JULIAN CASTRO,0
Washington,COHV29,President,,Democrat,ANDREW YANG,0
Washington,COHV29,President,,Democrat,CORY BOOKER,0
Washington,COHV29,President,,Democrat,PETE BUTTIGIEG,0
Washington,COHV29,President,,Democrat,NATHAN BLOXHAM,0
Washington,COHV29,President,,Democrat,MICHAEL R. BLOOMBERG,0
Washington,COHV29,President,,Democrat,UNDERVOTE,0
Washington,COHV29,President,,Democrat,JOSEPH R. BIDEN,0
Washington,COHV29,President,,Democrat,BERNIE SANDERS,0
Washington,COHV29,President,,Democrat,TOM STEYER,0
Washington,COHV29,President,,Democrat,ELIZABETH WARREN,0
Washington,COHV29,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COHV29,President,,Democrat,TULSI GABBARD,0
Washington,COHV29,President,,Democrat,AMY KLOBUCHAR,0
Washington,COLEED,President,,Democrat,JULIAN CASTRO,0
Washington,COLEED,President,,Democrat,ANDREW YANG,2
Washington,COLEED,President,,Democrat,CORY BOOKER,0
Washington,COLEED,President,,Democrat,PETE BUTTIGIEG,0
Washington,COLEED,President,,Democrat,NATHAN BLOXHAM,0
Washington,COLEED,President,,Democrat,MICHAEL R. BLOOMBERG,0
Washington,COLEED,President,,Democrat,UNDERVOTE,0
Washington,COLEED,President,,Democrat,JOSEPH R. BIDEN,4
Washington,COLEED,President,,Democrat,BERNIE SANDERS,6
Washington,COLEED,President,,Democrat,TOM STEYER,0
Washington,COLEED,President,,Democrat,ELIZABETH WARREN,2
Washington,COLEED,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COLEED,President,,Democrat,TULSI GABBARD,0
Washington,COLEED,President,,Democrat,AMY KLOBUCHAR,1
Washington,CONCF,President,,Democrat,JULIAN CASTRO,0
Washington,CONCF,President,,Democrat,ANDREW YANG,0
Washington,CONCF,President,,Democrat,CORY BOOKER,0
Washington,CONCF,President,,Democrat,PETE BUTTIGIEG,0
Washington,CONCF,President,,Democrat,NATHAN BLOXHAM,0
Washington,CONCF,President,,Democrat,MICHAEL R. BLOOMBERG,0
Washington,CONCF,President,,Democrat,UNDERVOTE,0
Washington,CONCF,President,,Democrat,JOSEPH R. BIDEN,1
Washington,CONCF,President,,Democrat,BERNIE SANDERS,0
Washington,CONCF,President,,Democrat,TOM STEYER,0
Washington,CONCF,President,,Democrat,ELIZABETH WARREN,2
Washington,CONCF,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,CONCF,President,,Democrat,TULSI GABBARD,0
Washington,CONCF,President,,Democrat,AMY KLOBUCHAR,1
Washington,CONH,President,,Democrat,JULIAN CASTRO,0
Washington,CONH,President,,Democrat,ANDREW YANG,0
Washington,CONH,President,,Democrat,CORY BOOKER,0
Washington,CONH,President,,Democrat,PETE BUTTIGIEG,8
Washington,CONH,President,,Democrat,NATHAN BLOXHAM,0
Washington,CONH,President,,Democrat,MICHAEL R. BLOOMBERG,8
Washington,CONH,President,,Democrat,UNDERVOTE,0
Washington,CONH,President,,Democrat,JOSEPH R. BIDEN,16
Washington,CONH,President,,Democrat,BERNIE SANDERS,11
Washington,CONH,President,,Democrat,TOM STEYER,0
Washington,CONH,President,,Democrat,ELIZABETH WARREN,8
Washington,CONH,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,CONH,President,,Democrat,TULSI GABBARD,0
Washington,CONH,President,,Democrat,AMY KLOBUCHAR,5
Washington,COPINE,President,,Democrat,JULIAN CASTRO,0
Washington,COPINE,President,,Democrat,ANDREW YANG,0
Washington,COPINE,President,,Democrat,CORY BOOKER,0
Washington,COPINE,President,,Democrat,PETE BUTTIGIEG,0
Washington,COPINE,President,,Democrat,NATHAN BLOXHAM,0
Washington,COPINE,President,,Democrat,MICHAEL R. BLOOMBERG,5
Washington,COPINE,President,,Democrat,UNDERVOTE,0
Washington,COPINE,President,,Democrat,JOSEPH R. BIDEN,1
Washington,COPINE,President,,Democrat,BERNIE SANDERS,2
Washington,COPINE,President,,Democrat,TOM STEYER,0
Washington,COPINE,President,,Democrat,ELIZABETH WARREN,0
Washington,COPINE,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COPINE,President,,Democrat,TULSI GABBARD,0
Washington,COPINE,President,,Democrat,AMY KLOBUCHAR,0
Washington,COSN28,President,,Democrat,JULIAN CASTRO,0
Washington,COSN28,President,,Democrat,ANDREW YANG,0
Washington,COSN28,President,,Democrat,CORY BOOKER,0
Washington,COSN28,President,,Democrat,PETE BUTTIGIEG,2
Washington,COSN28,President,,Democrat,NATHAN BLOXHAM,0
Washington,COSN28,President,,Democrat,MICHAEL R. BLOOMBERG,1
Washington,COSN28,President,,Democrat,UNDERVOTE,0
Washington,COSN28,President,,Democrat,JOSEPH R. BIDEN,2
Washington,COSN28,President,,Democrat,BERNIE SANDERS,4
Washington,COSN28,President,,Democrat,TOM STEYER,0
Washington,COSN28,President,,Democrat,ELIZABETH WARREN,2
Washington,COSN28,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COSN28,President,,Democrat,TULSI GABBARD,0
Washington,COSN28,President,,Democrat,AMY KLOBUCHAR,0
Washington,COVE,President,,Democrat,JULIAN CASTRO,0
Washington,COVE,President,,Democrat,ANDREW YANG,0
Washington,COVE,President,,Democrat,CORY BOOKER,0
Washington,COVE,President,,Democrat,PETE BUTTIGIEG,0
Washington,COVE,President,,Democrat,NATHAN BLOXHAM,0
Washington,COVE,President,,Democrat,MICHAEL R. BLOOMBERG,3
Washington,COVE,President,,Democrat,UNDERVOTE,0
Washington,COVE,President,,Democrat,JOSEPH R. BIDEN,4
Washington,COVE,President,,Democrat,BERNIE SANDERS,4
Washington,COVE,President,,Democrat,TOM STEYER,0
Washington,COVE,President,,Democrat,ELIZABETH WARREN,3
Washington,COVE,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COVE,President,,Democrat,TULSI GABBARD,0
Washington,COVE,President,,Democrat,AMY KLOBUCHAR,2
Washington,COWH,President,,Democrat,JULIAN CASTRO,0
Washington,COWH,President,,Democrat,ANDREW YANG,0
Washington,COWH,President,,Democrat,CORY BOOKER,0
Washington,COWH,President,,Democrat,PETE BUTTIGIEG,10
Washington,COWH,President,,Democrat,NATHAN BLOXHAM,0
Washington,COWH,President,,Democrat,MICHAEL R. BLOOMBERG,6
Washington,COWH,President,,Democrat,UNDERVOTE,0
Washington,COWH,President,,Democrat,JOSEPH R. BIDEN,8
Washington,COWH,President,,Democrat,BERNIE SANDERS,11
Washington,COWH,President,,Democrat,TOM STEYER,0
Washington,COWH,President,,Democrat,ELIZABETH WARREN,5
Washington,COWH,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,COWH,President,,Democrat,TULSI GABBARD,1
Washington,COWH,President,,Democrat,AMY KLOBUCHAR,1
Washington,EN82,President,,Democrat,JULIAN CASTRO,0
Washington,EN82,President,,Democrat,ANDREW YANG,1
Washington,EN82,President,,Democrat,CORY BOOKER,0
Washington,EN82,President,,Democrat,PETE BUTTIGIEG,0
Washington,EN82,President,,Democrat,NATHAN BLOXHAM,0
Washington,EN82,President,,Democrat,MICHAEL R. BLOOMBERG,6
Washington,EN82,President,,Democrat,UNDERVOTE,1
Washington,EN82,President,,Democrat,JOSEPH R. BIDEN,5
Washington,EN82,President,,Democrat,BERNIE SANDERS,2
Washington,EN82,President,,Democrat,TOM STEYER,0
Washington,EN82,President,,Democrat,ELIZABETH WARREN,2
Washington,EN82,President,,Democrat,MARIANNE WILLIAMSON,1
Washington,EN82,President,,Democrat,TULSI GABBARD,1
Washington,EN82,President,,Democrat,AMY KLOBUCHAR,0
Washington,HIL97,President,,Democrat,JULIAN CASTRO,0
Washington,HIL97,President,,Democrat,ANDREW YANG,0
Washington,HIL97,President,,Democrat,CORY BOOKER,0
Washington,HIL97,President,,Democrat,PETE BUTTIGIEG,0
Washington,HIL97,President,,Democrat,NATHAN BLOXHAM,0
Washington,HIL97,President,,Democrat,MICHAEL R. BLOOMBERG,1
Washington,HIL97,President,,Democrat,UNDERVOTE,0
Washington,HIL97,President,,Democrat,JOSEPH R. BIDEN,0
Washington,HIL97,President,,Democrat,BERNIE SANDERS,7
Washington,HIL97,President,,Democrat,TOM STEYER,0
Washington,HIL97,President,,Democrat,ELIZABETH WARREN,2
Washington,HIL97,President,,Democrat,MARIANNE WILLIAMSON,0
Washington,HIL97,President,,Democrat,TULSI GABBARD,0
Washington,HIL97,President,,Democrat,AMY KLOBUCHAR,0
Washington,HU52,President,,Democrat,JULIAN CASTRO,0
Washington,HU52,President,,Democrat,ANDREW YANG,0
Washington,HU52,President,,Democrat,CORY BOOKER,0
Washington,HU52,President,,Democrat,PETE BUTTIGIEG,3
Washington,HU52,President,,Democrat,NATHAN BLOXHAM,0
Washington,HU52,President,,Democrat,MICHAEL R. BLOOMBERG,5
Washington,HU52,President,,Democrat,UNDERVOTE,0
Washington,HU52,President,,Democrat,JOSEPH R. BIDEN,13
Washington,HU52,President,,Democrat,BERNIE SANDERS,28
Washington,HU52,President,,Democrat,TOM STEYER,2
Washington,HU52,President,,Democrat,ELIZABETH WARREN,4
