county,precinct,office,district,party,candidate,votes
Wayne,Fremont,President,,Democrat,JULIAN CASTRO,0
Wayne,Fremont,President,,Democrat,ANDREW YANG,0
Wayne,Fremont,President,,Democrat,CORY BOOKER,0
Wayne,Fremont,President,,Democrat,PETE BUTTIGIEG,0
Wayne,Fremont,President,,Democrat,NATHAN BLOXHAM,0
Wayne,Fremont,President,,Democrat,MICHAEL R. BLOOMBERG,0
Wayne,Fremont,President,,Democrat,MICHAEL BENNET,0
Wayne,Fremont,President,,Democrat,JOSEPH R. BIDEN,2
Wayne,Fremont,President,,Democrat,BERNIE SANDERS,0
Wayne,Fremont,President,,Democrat,TOM STEYER,0
Wayne,Fremont,President,,Democrat,ELIZABETH WARREN,2
Wayne,Fremont,President,,Democrat,MARIANNE WILLIAMSON,0
Wayne,Fremont,President,,Democrat,TULSI GABBARD,0
Wayne,Fremont,President,,Democrat,AMY KLOBUCHAR,1
Wayne,Fremont,President,,Democrat,DEVAL PATRICK,0
Wayne,Fremont,President,,Democrat,ROQUE DE LA FUENTE,0
Wayne,Fremont,President,,Republican,ROBERT ARDINI,0
Wayne,Fremont,President,,Republican,MATTHEW JOHN MATERN,0
Wayne,Fremont,President,,Republican,BOB ELY,0
Wayne,Fremont,President,,Republican,JOE WALSH,0
Wayne,Fremont,President,,Republican,BILL WELD,4
Wayne,Fremont,President,,Republican,"ROQUE ""ROCKY"" DE LA FUENTE",0
Wayne,Fremont,President,,Republican,DONALD J. TRUMP,76
Wayne,Loa Inside/Outside,President,,Democrat,JULIAN CASTRO,2
Wayne,Loa Inside/Outside,President,,Democrat,ANDREW YANG,0
Wayne,Loa Inside/Outside,President,,Democrat,CORY BOOKER,0
Wayne,Loa Inside/Outside,President,,Democrat,PETE BUTTIGIEG,0
Wayne,Loa Inside/Outside,President,,Democrat,NATHAN BLOXHAM,0
Wayne,Loa Inside/Outside,President,,Democrat,MICHAEL R. BLOOMBERG,3
Wayne,Loa Inside/Outside,President,,Democrat,MICHAEL BENNET,0
Wayne,Loa Inside/Outside,President,,Democrat,JOSEPH R. BIDEN,2
Wayne,Loa Inside/Outside,President,,Democrat,BERNIE SANDERS,4
Wayne,Loa Inside/Outside,President,,Democrat,TOM STEYER,0
Wayne,Loa Inside/Outside,President,,Democrat,ELIZABETH WARREN,1
Wayne,Loa Inside/Outside,President,,Democrat,MARIANNE WILLIAMSON,0
Wayne,Loa Inside/Outside,President,,Democrat,TULSI GABBARD,0
Wayne,Loa Inside/Outside,President,,Democrat,AMY KLOBUCHAR,0
Wayne,Loa Inside/Outside,President,,Democrat,DEVAL PATRICK,0
Wayne,Loa Inside/Outside,President,,Democrat,ROQUE DE LA FUENTE,0
Wayne,Loa Inside/Outside,President,,Republican,ROBERT ARDINI,0
Wayne,Loa Inside/Outside,President,,Republican,MATTHEW JOHN MATERN,0
Wayne,Loa Inside/Outside,President,,Republican,BOB ELY,0
Wayne,Loa Inside/Outside,President,,Republican,JOE WALSH,1
Wayne,Loa Inside/Outside,President,,Republican,BILL WELD,4
Wayne,Loa Inside/Outside,President,,Republican,"ROQUE ""ROCKY"" DE LA FUENTE",0
Wayne,Loa Inside/Outside,President,,Republican,DONALD J. TRUMP,186
Wayne,Lyman Inside/Outside,President,,Democrat,JULIAN CASTRO,0
Wayne,Lyman Inside/Outside,President,,Democrat,ANDREW YANG,0
Wayne,Lyman Inside/Outside,President,,Democrat,CORY BOOKER,0
Wayne,Lyman Inside/Outside,President,,Democrat,PETE BUTTIGIEG,2
Wayne,Lyman Inside/Outside,President,,Democrat,NATHAN BLOXHAM,0
Wayne,Lyman Inside/Outside,President,,Democrat,MICHAEL R. BLOOMBERG,2
Wayne,Lyman Inside/Outside,President,,Democrat,MICHAEL BENNET,0
Wayne,Lyman Inside/Outside,President,,Democrat,JOSEPH R. BIDEN,0
Wayne,Lyman Inside/Outside,President,,Democrat,BERNIE SANDERS,0
Wayne,Lyman Inside/Outside,President,,Democrat,TOM STEYER,0
Wayne,Lyman Inside/Outside,President,,Democrat,ELIZABETH WARREN,0
Wayne,Lyman Inside/Outside,President,,Democrat,MARIANNE WILLIAMSON,0
