county,office,district,party,precinct,candidate,votes
Weber,President,,Republican,FRW001,ROBERT ARDINI,3
Weber,President,,Republican,FRW001,MATTHEW JOHN MATERN,3
Weber,President,,Republican,FRW001,BOB ELY,1
Weber,President,,Republican,FRW001,JOE WALSH,5
Weber,President,,Republican,FRW001,BILL WELD,16
Weber,President,,Republican,FRW001,DONALD J. TRUMP,263
Weber,President,,Republican,FRW002,ROBERT ARDINI,4
Weber,President,,Republican,FRW002,MATTHEW JOHN MATERN,3
Weber,President,,Republican,FRW002,BOB ELY,0
Weber,President,,Republican,FRW002,JOE WALSH,13
Weber,President,,Republican,FRW002,BILL WELD,5
Weber,President,,Republican,FRW002,DONALD J. TRUMP,185
Weber,President,,Republican,FRW003,ROBERT ARDINI,6
Weber,President,,Republican,FRW003,MATTHEW JOHN MATERN,6
Weber,President,,Republican,FRW003,BOB ELY,1
Weber,President,,Republican,FRW003,JOE WALSH,4
Weber,President,,Republican,FRW003,BILL WELD,9
Weber,President,,Republican,FRW003,DONALD J. TRUMP,258
Weber,President,,Republican,FRW004,ROBERT ARDINI,4
Weber,President,,Republican,FRW004,MATTHEW JOHN MATERN,3
Weber,President,,Republican,FRW004,BOB ELY,0
Weber,President,,Republican,FRW004,JOE WALSH,4
Weber,President,,Republican,FRW004,BILL WELD,19
Weber,President,,Republican,FRW004,DONALD J. TRUMP,286
Weber,President,,Republican,HPR001,ROBERT ARDINI,1
Weber,President,,Republican,HPR001,MATTHEW JOHN MATERN,3
Weber,President,,Republican,HPR001,BOB ELY,0
Weber,President,,Republican,HPR001,JOE WALSH,5
Weber,President,,Republican,HPR001,BILL WELD,15
Weber,President,,Republican,HPR001,DONALD J. TRUMP,273
Weber,President,,Republican,HPR002,ROBERT ARDINI,0
Weber,President,,Republican,HPR002,MATTHEW JOHN MATERN,2
Weber,President,,Republican,HPR002,BOB ELY,1
Weber,President,,Republican,HPR002,JOE WALSH,4
Weber,President,,Republican,HPR002,BILL WELD,5
Weber,President,,Republican,HPR002,DONALD J. TRUMP,107
Weber,President,,Republican,HPR003,ROBERT ARDINI,2
Weber,President,,Republican,HPR003,MATTHEW JOHN MATERN,3
Weber,President,,Republican,HPR003,BOB ELY,0
Weber,President,,Republican,HPR003,JOE WALSH,2
Weber,President,,Republican,HPR003,BILL WELD,5
Weber,President,,Republican,HPR003,DONALD J. TRUMP,206
Weber,President,,Republican,HPR004,ROBERT ARDINI,0
Weber,President,,Republican,HPR004,MATTHEW JOHN MATERN,4
Weber,President,,Republican,HPR004,BOB ELY,0
Weber,President,,Republican,HPR004,JOE WALSH,4
Weber,President,,Republican,HPR004,BILL WELD,7
Weber,President,,Republican,HPR004,DONALD J. TRUMP,173
Weber,President,,Republican,HPR005,ROBERT ARDINI,4
Weber,President,,Republican,HPR005,MATTHEW JOHN MATERN,3
Weber,President,,Republican,HPR005,BOB ELY,0
Weber,President,,Republican,HPR005,JOE WALSH,4
Weber,President,,Republican,HPR005,BILL WELD,13
Weber,President,,Republican,HPR005,DONALD J. TRUMP,165
Weber,President,,Republican,HPR006,ROBERT ARDINI,0
Weber,President,,Republican,HPR006,MATTHEW JOHN MATERN,1
Weber,President,,Republican,HPR006,BOB ELY,0
Weber,President,,Republican,HPR006,JOE WALSH,1
Weber,President,,Republican,HPR006,BILL WELD,7
Weber,President,,Republican,HPR006,DONALD J. TRUMP,228
Weber,President,,Republican,HSV001,ROBERT ARDINI,0
Weber,President,,Republican,HSV001,MATTHEW JOHN MATERN,3
Weber,President,,Republican,HSV001,BOB ELY,0
Weber,President,,Republican,HSV001,JOE WALSH,6
Weber,President,,Republican,HSV001,BILL WELD,3
Weber,President,,Republican,HSV001,DONALD J. TRUMP,218
Weber,President,,Republican,HSV002,ROBERT ARDINI,1
Weber,President,,Republican,HSV002,MATTHEW JOHN MATERN,1
Weber,President,,Republican,HSV002,BOB ELY,0
Weber,President,,Republican,HSV002,JOE WALSH,9
Weber,President,,Republican,HSV002,BILL WELD,7
Weber,President,,Republican,HSV002,DONALD J. TRUMP,152
Weber,President,,Republican,HSV003,ROBERT ARDINI,0
Weber,President,,Republican,HSV003,MATTHEW JOHN MATERN,1
Weber,President,,Republican,HSV003,BOB ELY,0
Weber,President,,Republican,HSV003,JOE WALSH,0
Weber,President,,Republican,HSV003,BILL WELD,3
Weber,President,,Republican,HSV003,DONALD J. TRUMP,50
Weber,President,,Republican,HSV004,ROBERT ARDINI,3
Weber,President,,Republican,HSV004,MATTHEW JOHN MATERN,2
Weber,President,,Republican,HSV004,BOB ELY,1
Weber,President,,Republican,HSV004,JOE WALSH,5
Weber,President,,Republican,HSV004,BILL WELD,12
Weber,President,,Republican,HSV004,DONALD J. TRUMP,226
Weber,President,,Republican,HTV001,ROBERT ARDINI,2
Weber,President,,Republican,HTV001,MATTHEW JOHN MATERN,2
Weber,President,,Republican,HTV001,BOB ELY,0
Weber,President,,Republican,HTV001,JOE WALSH,2
Weber,President,,Republican,HTV001,BILL WELD,12
Weber,President,,Republican,HTV001,DONALD J. TRUMP,102
Weber,President,,Republican,MSC002,ROBERT ARDINI,1
Weber,President,,Republican,MSC002,MATTHEW JOHN MATERN,1
Weber,President,,Republican,MSC002,BOB ELY,2
Weber,President,,Republican,MSC002,JOE WALSH,2
Weber,President,,Republican,MSC002,BILL WELD,5
Weber,President,,Republican,MSC002,DONALD J. TRUMP,87
Weber,President,,Republican,MSC003,ROBERT ARDINI,0
Weber,President,,Republican,MSC003,MATTHEW JOHN MATERN,2
Weber,President,,Republican,MSC003,BOB ELY,0
Weber,President,,Republican,MSC003,JOE WALSH,5
Weber,President,,Republican,MSC003,BILL WELD,4
Weber,President,,Republican,MSC003,DONALD J. TRUMP,57
Weber,President,,Republican,MSC004,ROBERT ARDINI,1
Weber,President,,Republican,MSC004,MATTHEW JOHN MATERN,3
Weber,President,,Republican,MSC004,BOB ELY,1
Weber,President,,Republican,MSC004,JOE WALSH,2
Weber,President,,Republican,MSC004,BILL WELD,4
Weber,President,,Republican,MSC004,DONALD J. TRUMP,73
Weber,President,,Republican,NOG001,ROBERT ARDINI,1
Weber,President,,Republican,NOG001,MATTHEW JOHN MATERN,2
Weber,President,,Republican,NOG001,BOB ELY,0
Weber,President,,Republican,NOG001,JOE WALSH,7
Weber,President,,Republican,NOG001,BILL WELD,7
Weber,President,,Republican,NOG001,DONALD J. TRUMP,159
Weber,President,,Republican,NOG002,ROBERT ARDINI,8
Weber,President,,Republican,NOG002,MATTHEW JOHN MATERN,6
Weber,President,,Republican,NOG002,BOB ELY,0
Weber,President,,Republican,NOG002,JOE WALSH,9
Weber,President,,Republican,NOG002,BILL WELD,8
Weber,President,,Republican,NOG002,DONALD J. TRUMP,135
Weber,President,,Republican,NOG003,ROBERT ARDINI,5
Weber,President,,Republican,NOG003,MATTHEW JOHN MATERN,10
Weber,President,,Republican,NOG003,BOB ELY,0
Weber,President,,Republican,NOG003,JOE WALSH,6
Weber,President,,Republican,NOG003,BILL WELD,11
Weber,President,,Republican,NOG003,DONALD J. TRUMP,186
Weber,President,,Republican,NOG004,ROBERT ARDINI,3
Weber,President,,Republican,NOG004,MATTHEW JOHN MATERN,0
Weber,President,,Republican,NOG004,BOB ELY,0
Weber,President,,Republican,NOG004,JOE WALSH,2
Weber,President,,Republican,NOG004,BILL WELD,5
Weber,President,,Republican,NOG004,DONALD J. TRUMP,145
Weber,President,,Republican,NOG005,ROBERT ARDINI,8
Weber,President,,Republican,NOG005,MATTHEW JOHN MATERN,6
Weber,President,,Republican,NOG005,BOB ELY,1
Weber,President,,Republican,NOG005,JOE WALSH,4
Weber,President,,Republican,NOG005,BILL WELD,20
Weber,President,,Republican,NOG005,DONALD J. TRUMP,230
Weber,President,,Republican,NOG006,ROBERT ARDINI,1
Weber,President,,Republican,NOG006,MATTHEW JOHN MATERN,2
Weber,President,,Republican,NOG006,BOB ELY,2
Weber,President,,Republican,NOG006,JOE WALSH,4
Weber,President,,Republican,NOG006,BILL WELD,6
Weber,President,,Republican,NOG006,DONALD J. TRUMP,127
Weber,President,,Republican,NOG007,ROBERT ARDINI,2
Weber,President,,Republican,NOG007,MATTHEW JOHN MATERN,5
Weber,President,,Republican,NOG007,BOB ELY,1
Weber,President,,Republican,NOG007,JOE WALSH,10
Weber,President,,Republican,NOG007,BILL WELD,13
Weber,President,,Republican,NOG007,DONALD J. TRUMP,145
Weber,President,,Republican,NOG008,ROBERT ARDINI,5
Weber,President,,Republican,NOG008,MATTHEW JOHN MATERN,15
Weber,President,,Republican,NOG008,BOB ELY,0
Weber,President,,Republican,NOG008,JOE WALSH,5
Weber,President,,Republican,NOG008,BILL WELD,19
Weber,President,,Republican,NOG008,DONALD J. TRUMP,255
Weber,President,,Republican,NOG009,ROBERT ARDINI,4
Weber,President,,Republican,NOG009,MATTHEW JOHN MATERN,0
Weber,President,,Republican,NOG009,BOB ELY,0
Weber,President,,Republican,NOG009,JOE WALSH,1
Weber,President,,Republican,NOG009,BILL WELD,13
Weber,President,,Republican,NOG009,DONALD J. TRUMP,223
Weber,President,,Republican,NOG010,ROBERT ARDINI,3
Weber,President,,Republican,NOG010,MATTHEW JOHN MATERN,1
Weber,President,,Republican,NOG010,BOB ELY,0
Weber,President,,Republican,NOG010,JOE WALSH,8
Weber,President,,Republican,NOG010,BILL WELD,18
Weber,President,,Republican,NOG010,DONALD J. TRUMP,239
Weber,President,,Republican,NOG011,ROBERT ARDINI,3
Weber,President,,Republican,NOG011,MATTHEW JOHN MATERN,4
Weber,President,,Republican,NOG011,BOB ELY,1
Weber,President,,Republican,NOG011,JOE WALSH,8
Weber,President,,Republican,NOG011,BILL WELD,19
Weber,President,,Republican,NOG011,DONALD J. TRUMP,158
Weber,President,,Republican,NOG012,ROBERT ARDINI,3
Weber,President,,Republican,NOG012,MATTHEW JOHN MATERN,4
Weber,President,,Republican,NOG012,BOB ELY,0
Weber,President,,Republican,NOG012,JOE WALSH,6
Weber,President,,Republican,NOG012,BILL WELD,19
Weber,President,,Republican,NOG012,DONALD J. TRUMP,185
Weber,President,,Republican,NOG013,ROBERT ARDINI,2
Weber,President,,Republican,NOG013,MATTHEW JOHN MATERN,9
Weber,President,,Republican,NOG013,BOB ELY,0
Weber,President,,Republican,NOG013,JOE WALSH,4
Weber,President,,Republican,NOG013,BILL WELD,8
Weber,President,,Republican,NOG013,DONALD J. TRUMP,222
Weber,President,,Republican,OGD001,ROBERT ARDINI,3
Weber,President,,Republican,OGD001,MATTHEW JOHN MATERN,2
Weber,President,,Republican,OGD001,BOB ELY,0
