county,precinct,office,district,candidate,party,votes,mail,election_day,early_voting
Salt Lake,ALT001,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,14,14,0,0
Salt Lake,ALT001,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,11,11,0,0
Salt Lake,BRT901,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,28,28,0,0
Salt Lake,BRT901,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,19,19,0,0
Salt Lake,CCN001,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,0,0,0,0
Salt Lake,CCN001,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,0,0,0,0
Salt Lake,COT014,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,24,24,0,0
Salt Lake,COT014,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,20,20,0,0
Salt Lake,COT021,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,32,32,0,0
Salt Lake,COT021,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,37,37,0,0
Salt Lake,COT023,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,51,51,0,0
Salt Lake,COT023,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,47,47,0,0
Salt Lake,COT024,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,19,18,1,0
Salt Lake,COT024,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,61,61,0,0
Salt Lake,COT025,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,50,50,0,0
Salt Lake,COT025,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,36,36,0,0
Salt Lake,COT026,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,25,25,0,0
Salt Lake,COT026,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,16,16,0,0
Salt Lake,COT027,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,17,17,0,0
Salt Lake,COT027,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,24,24,0,0
Salt Lake,COT028,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,13,13,0,0
Salt Lake,COT028,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,11,11,0,0
Salt Lake,COT029,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,37,37,0,0
Salt Lake,COT029,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,34,33,1,0
Salt Lake,COT030,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,6,6,0,0
Salt Lake,COT030,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,19,19,0,0
Salt Lake,COT031,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,22,22,0,0
Salt Lake,COT031,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,33,33,0,0
Salt Lake,COT033,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,44,44,0,0
Salt Lake,COT033,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,49,49,0,0
Salt Lake,COT034,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,35,35,0,0
Salt Lake,COT034,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,45,45,0,0
Salt Lake,COT036,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,45,45,0,0
Salt Lake,COT036,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,33,32,1,0
Salt Lake,COT037,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,17,17,0,0
Salt Lake,COT037,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,36,36,0,0
Salt Lake,COT038,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,0,0,0,0
Salt Lake,COT038,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,4,4,0,0
Salt Lake,COT039,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,4,4,0,0
Salt Lake,COT039,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,3,3,0,0
Salt Lake,DRP003,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,42,42,0,0
Salt Lake,DRP003,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,45,44,1,0
Salt Lake,DRP004,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,24,24,0,0
Salt Lake,DRP004,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,54,54,0,0
Salt Lake,DRP006,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,24,24,0,0
Salt Lake,DRP006,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,44,44,0,0
Salt Lake,DRP008,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,10,10,0,0
Salt Lake,DRP008,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,14,14,0,0
Salt Lake,DRP009,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,33,32,1,0
Salt Lake,DRP009,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,21,21,0,0
Salt Lake,DRP010,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,26,25,1,0
Salt Lake,DRP010,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,35,35,0,0
Salt Lake,DRP011,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,17,17,0,0
Salt Lake,DRP011,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,24,24,0,0
Salt Lake,DRP013,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,15,15,0,0
Salt Lake,DRP013,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,24,24,0,0
Salt Lake,DRP015,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,22,22,0,0
Salt Lake,DRP015,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,30,30,0,0
Salt Lake,DRP017,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,13,13,0,0
Salt Lake,DRP017,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,19,19,0,0
Salt Lake,DRP019,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,14,14,0,0
Salt Lake,DRP019,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,28,28,0,0
Salt Lake,DRP020,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,13,13,0,0
Salt Lake,DRP020,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,15,15,0,0
Salt Lake,DRP024,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,28,28,0,0
Salt Lake,DRP024,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,33,33,0,0
Salt Lake,DRP025,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,33,33,0,0
Salt Lake,DRP025,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,50,50,0,0
Salt Lake,DRP027,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,32,32,0,0
Salt Lake,DRP027,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,35,35,0,0
Salt Lake,DRP028,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,35,35,0,0
