county,precinct,office,district,candidate,party,votes,mail,election_day,early_voting
Wayne,Fremont,Registered Voters,,,,158,,,
Wayne,Fremont,Ballots Cast,,,,149,,,
Wayne,Fremont,Ballots Cast Blank,,,,0,,,
Wayne,Fremont,President,,Brock Pierce,,0,,,
Wayne,Fremont,President,,Kanye West / Michelle Tidball,,0,,,
Wayne,Fremont,President,,Joseph R. Biden,DEM,18,,,
Wayne,Fremont,President,,Don Blankenship,CON,0,,,
Wayne,Fremont,President,,Jo Jorgensen,LIB,1,,,
Wayne,Fremont,President,,Joe McHugh / Elizabeth Storm,,0,,,
Wayne,Fremont,President,,Howie Hawkins,GRN,0,,,
Wayne,Fremont,President,,Gloria La Riva,,0,,,
Wayne,Fremont,President,,Donald J. Trump,REP,130,,,
Wayne,Fremont,President,,Write-In Totals,,0,,,
Wayne,Fremont,U.S. House,2,Kael Weston,DEM,16,,,
Wayne,Fremont,U.S. House,2,Chris Stewart,REP,123,,,
Wayne,Fremont,U.S. House,2,J. Robert Latham,LIB,3,,,
Wayne,Fremont,Governor,,Chris Peterson,DEM,19,,,
Wayne,Fremont,Governor,,Greg Duerden,IAP,5,,,
Wayne,Fremont,Governor,,Spencer J. Cox,REP,111,,,
Wayne,Fremont,Governor,,Daniel Rhead Cottam,LIB,3,,,
Wayne,Fremont,Governor,,Write-In Totals,,8,,,
Wayne,Fremont,Attorney General,,Rudy J. Bautista,LIB,3,,,
Wayne,Fremont,Attorney General,,Greg Skordas,DEM,18,,,
Wayne,Fremont,Attorney General,,Sean D. Reyes,REP,124,,,
Wayne,Fremont,State Auditor,,John 'Frugal' Dougall,REP,124,,,
Wayne,Fremont,State Auditor,,Jeffrey L. Ostler,CON,10,,,
Wayne,Fremont,State Auditor,,Brian L. Fabbi,UUP,6,,,
Wayne,Fremont,State Treasurer,,Richard Proctor,CON,5,,,
Wayne,Fremont,State Treasurer,,David Damschen,REP,127,,,
Wayne,Fremont,State Treasurer,,Joseph Speciale,LIB,8,,,
Wayne,Fremont,State Senate,24,Derrin R. Owens,REP,127,,,
Wayne,Fremont,State Senate,24,Warren Rogers,IAP,9,,,
Wayne,Fremont,State House,73,Phil Lyman,REP,131,,,
Wayne,Loa Inside/Outside,Registered Voters,,,,410,,,
Wayne,Loa Inside/Outside,Ballots Cast,,,,380,,,
Wayne,Loa Inside/Outside,Ballots Cast Blank,,,,0,,,
Wayne,Loa Inside/Outside,President,,Brock Pierce,,0,,,
Wayne,Loa Inside/Outside,President,,Kanye West / Michelle Tidball,,2,,,
Wayne,Loa Inside/Outside,President,,Joseph R. Biden,DEM,35,,,
Wayne,Loa Inside/Outside,President,,Don Blankenship,CON,1,,,
Wayne,Loa Inside/Outside,President,,Jo Jorgensen,LIB,3,,,
Wayne,Loa Inside/Outside,President,,Joe McHugh / Elizabeth Storm,,0,,,
