county,office,district,party,candidate,votes
Albany,President,,REP,Donald J. Trump,8579
Big Horn,President,,REP,Donald J. Trump,4806
Campbell,President,,REP,Donald J. Trump,16975
Carbon,President,,REP,Donald J. Trump,5014
Converse,President,,REP,Donald J. Trump,5917
Crook,President,,REP,Donald J. Trump,3651
Fremont,President,,REP,Donald J. Trump,12007
Goshen,President,,REP,Donald J. Trump,4878
Hot Springs,President,,REP,Donald J. Trump,1999
Johnson,President,,REP,Donald J. Trump,3881
Laramie,President,,REP,Donald J. Trump,27891
Lincoln,President,,REP,Donald J. Trump,8643
Natrona,President,,REP,Donald J. Trump,25271
Niobrara,President,,REP,Donald J. Trump,1118
Park,President,,REP,Donald J. Trump,12813
Platte,President,,REP,Donald J. Trump,3898
Sheridan,President,,REP,Donald J. Trump,11843
Sublette,President,,REP,Donald J. Trump,3957
Sweetwater,President,,REP,Donald J. Trump,12229
Teton,President,,REP,Donald J. Trump,4341
Uinta,President,,REP,Donald J. Trump,7496
Washakie,President,,REP,Donald J. Trump,3245
Weston,President,,REP,Donald J. Trump,3107
Albany,President,,DEM,Joseph R. Biden,9092
Big Horn,President,,DEM,Joseph R. Biden,788
Campbell,President,,DEM,Joseph R. Biden,1935
Carbon,President,,DEM,Joseph R. Biden,1427
Converse,President,,DEM,Joseph R. Biden,861
Crook,President,,DEM,Joseph R. Biden,378
Fremont,President,,DEM,Joseph R. Biden,5519
Goshen,President,,DEM,Joseph R. Biden,1203
Hot Springs,President,,DEM,Joseph R. Biden,482
Johnson,President,,DEM,Joseph R. Biden,897
Laramie,President,,DEM,Joseph R. Biden,15217
Lincoln,President,,DEM,Joseph R. Biden,1509
Natrona,President,,DEM,Joseph R. Biden,8530
Niobrara,President,,DEM,Joseph R. Biden,155
Park,President,,DEM,Joseph R. Biden,3410
Platte,President,,DEM,Joseph R. Biden,890
Sheridan,President,,DEM,Joseph R. Biden,4043
Sublette,President,,DEM,Joseph R. Biden,882
Sweetwater,President,,DEM,Joseph R. Biden,3823
Teton,President,,DEM,Joseph R. Biden,9848
Uinta,President,,DEM,Joseph R. Biden,1591
Washakie,President,,DEM,Joseph R. Biden,651
Weston,President,,DEM,Joseph R. Biden,360
Albany,President,,LIB,Jo Jorgensen,595
Big Horn,President,,LIB,Jo Jorgensen,74
Campbell,President,,LIB,Jo Jorgensen,434
Carbon,President,,LIB,Jo Jorgensen,142
Converse,President,,LIB,Jo Jorgensen,121
Crook,President,,LIB,Jo Jorgensen,57
Fremont,President,,LIB,Jo Jorgensen,321
Goshen,President,,LIB,Jo Jorgensen,86
Hot Springs,President,,LIB,Jo Jorgensen,61
Johnson,President,,LIB,Jo Jorgensen,86
Laramie,President,,LIB,Jo Jorgensen,1063
Lincoln,President,,LIB,Jo Jorgensen,167
Natrona,President,,LIB,Jo Jorgensen,895
Niobrara,President,,LIB,Jo Jorgensen,21
Park,President,,LIB,Jo Jorgensen,282
Platte,President,,LIB,Jo Jorgensen,65
Sheridan,President,,LIB,Jo Jorgensen,339
Sublette,President,,LIB,Jo Jorgensen,71
Sweetwater,President,,LIB,Jo Jorgensen,350
Teton,President,,LIB,Jo Jorgensen,255
Uinta,President,,LIB,Jo Jorgensen,172
Washakie,President,,LIB,Jo Jorgensen,65
Weston,President,,LIB,Jo Jorgensen,46
Albany,President,,IND,Brock Pierce,178
Big Horn,President,,IND,Brock Pierce,46
Campbell,President,,IND,Brock Pierce,120
Carbon,President,,IND,Brock Pierce,49
Converse,President,,IND,Brock Pierce,43
Crook,President,,IND,Brock Pierce,19
Fremont,President,,IND,Brock Pierce,157
Goshen,President,,IND,Brock Pierce,43
Hot Springs,President,,IND,Brock Pierce,24
Johnson,President,,IND,Brock Pierce,27
Laramie,President,,IND,Brock Pierce,491
